 8/11	これはこの色が好き
16:30	あすか 11/19 8/11	🥹
16:30	あすか 11/19 8/11	🫣
16:30	ゆうげん	おじさん
16:30	あすか 11/19 8/11	🐏🦔🦢🪵🫧🥯🍞🥐🥨🥖🍳🥞🧇
16:30	あすか 11/19 8/11	かわいー
16:32	ゆうげん	パンかわいい
16:36	あすか 11/19 8/11	パン可愛いよな🍞🍞🍞
16:36	ゆうげん	🥯
16:36	ゆうげん	あった
16:36	ゆうげん	べーぐる
16:36	あすか 11/19 8/11	ベーグル
16:36	あすか 11/19 8/11	食べたいね
16:37	あすか 11/19 8/11	焼きベーグルも食べたいし
16:37	あすか 11/19 8/11	北浜おった時に行ったベーグル屋さんも行きたいなぁ
16:41	ゆうげん	次の次
16:41	ゆうげん	いこや
16:43	あすか 11/19 8/11	[写真]
16:43	あすか 11/19 8/11	[写真]
16:43	あすか 11/19 8/11	[写真]
16:43	あすか 11/19 8/11	これこれ〜
16:43	あすか 11/19 8/11	次の次？
16:44	ゆうげん	妊活の週
16:45	あすか 11/19 8/11	妊活の週帰って来れるかな〜
16:48	ゆうげん	帰るけど
16:48	ゆうげん	泊まれるかはわからん
16:48	あすか 11/19 8/11	泊まれんかったら
16:48	あすか 11/19 8/11	妊活できんよ
16:53	ゆうげん	國松家で
17:10	あすか 11/19 8/11	國松家に泊まるの？
17:53	ゆうげん	そそ
17:53	ゆうげん	國松家で子作り
18:12	あすか 11/19 8/11	……いけるかな……
18:20	ゆうげん	大丈夫よ
18:20	ゆうげん	2人とも寝たら死んどるから
18:24	あすか 11/19 8/11	そもそもお泊まり大丈夫なの？
18:55	ゆうげん	今聞いといたら
18:55	ゆうげん	大丈夫
19:06	あすか 11/19 8/11	いい感じに生理くるかどうかもわかんないけど
19:09	ゆうげん	まあ来なくても
19:09	ゆうげん	あお
19:13	あすか 11/19 8/11	松原の実家が大丈夫なら会いたいね
19:15	ゆうげん	聞いてみる
19:28	あすか 11/19 8/11	"コロナも増えてるから
気遣うけど……"
19:47	ゆうげん	そこは気をつける
19:52	あすか 11/19 8/11	気をつけててもなる時はなるけどできる感染対策はしっっっかりしとこね
20:34	あすか 11/19 8/11	今ってもえみちゃんもおるんじゃない？？ちがうかな？
20:49	ゆうげん	聞いてみてる
20:49	ゆうげん	返事待ち
20:51	あすか 11/19 8/11	多分おると思うんよね
20:52	あすか 11/19 8/11	そうなると人多くなるしやめといた方が…て思っちゃう
20:52	あすか 11/19 8/11	うちは母おらんこと多いしおってもご飯別とかするけど
20:52	あすか 11/19 8/11	お義母さん色々やってくださるから、、気遣う、、
20:53	あすか 11/19 8/11	寝る部屋とかも困るやろうし……
21:10	ゆうげん	うlん
21:10	ゆうげん	何とかならんかな
21:12	あすか 11/19 8/11	あと不意に思ったけど
21:13	あすか 11/19 8/11	ベビー授かれたとして
21:13	あすか 11/19 8/11	実家で生活するの大変すぎる(笑)
21:13	あすか 11/19 8/11	障害物が多すぎる
21:14	あすか 11/19 8/11	ナギを抱っこしながらの上り下り、柵またぎ、、
21:14	あすか 11/19 8/11	やばそう

2022/07/25(月)
05:16	ゆうげん	しまった
05:16	ゆうげん	寝落ちしちまった
05:16	ゆうげん	おはよう
05:47	ゆうげん	極力初めは
05:47	ゆうげん	明日香が過ごしやすい
05:47	ゆうげん	いえにしないと
05:48	あすか 11/19 8/11	おはよう
05:49	あすか 11/19 8/11	無理でしょ、柵は取れない
05:49	あすか 11/19 8/11	実家だよ？犬たくさんの実家
05:49	ゆうげん	"なんか工夫してくれるやろ
作低くしたり"
05:54	ゆうげん	今月5万送ったよ
05:54	ゆうげん	引き落としで余ったら
05:55	ゆうげん	またさらに送るね
05:55	あすか 11/19 8/11	いやまず、ナギ抱っこしながら柵跨がなあかんとこ多すぎて
05:56	あすか 11/19 8/11	高さの問題だけではない、、
05:56	あすか 11/19 8/11	ありがとうございます！
05:56	ゆうげん	[スタンプ]
05:57	あすか 11/19 8/11	どゆこと？(笑)
05:57	ゆうげん	5万どうぞって
05:57	あすか 11/19 8/11	あ、ありがとう
05:58	ゆうげん	[スタンプ]
05:58	あすか 11/19 8/11	今日はテレワーク？出社？
05:58	ゆうげん	テレワーク
05:58	あすか 11/19 8/11	そかそか、無理せずね
05:58	ゆうげん	今週頑張らないと
05:59	あすか 11/19 8/11	やっぱ厳しいかなぁ、実家で妊婦は、、なぎ抱っこしながら階段の上り下りや柵またぎやで、
05:59	あすか 11/19 8/11	なんかずっと考えてる
05:59	あすか 11/19 8/11	"ほんとに今のタイミングで
妊活してもいいのかなって"
06:00	ゆうげん	実家まじでろくでもないな
06:00	あすか 11/19 8/11	頑張らなきゃやけど無理はしちゃだめだよ
06:01	あすか 11/19 8/11	どーにかなるんかな、、
06:01	あすか 11/19 8/11	うーん、、
06:52	ゆうげん	無理はしないよ
07:18	あすか 11/19 8/11	うん
08:12	ゆうげん	あすかに貰った
08:12	ゆうげん	お湯だけご飯ず
08:12	ゆうげん	うまい
09:15	あすか 11/19 8/11	それは良かったよ〜
09:15	あすか 11/19 8/11	簡単やしね！
09:15	ゆうげん	もう3杯くった
09:15	あすか 11/19 8/11	わお(笑)
09:16	あすか 11/19 8/11	まぁでも1つの量少ないもんね
09:22	ゆうげん	おいしい
09:22	ゆうげん	まじで
09:44	あすか 11/19 8/11	うんうん、めっちゃおいしいよね
09:44	あすか 11/19 8/11	お手軽やしね！
09:44	ゆうげん	栄養はあるんかな？
09:45	あすか 11/19 8/11	どーだろ
09:45	あすか 11/19 8/11	栄養0ではないやろうけどね(笑)
09:45	ゆうげん	これでそこそこ栄養あったら
09:45	ゆうげん	こればっか食うわ
09:50	あすか 11/19 8/11	(笑)
09:50	あすか 11/19 8/11	何渡したっけ？
09:51	ゆうげん	にゅうめんとか
09:51	ゆうげん	雑炊
09:51	あすか 11/19 8/11	雑炊とかにゅうめんとかお味噌汁？
09:51	ゆうげん	お味噌はまだ食ってない
09:51	あすか 11/19 8/11	そなのね
09:51	あすか 11/19 8/11	雑炊とにゅうめん食べたん？
09:52	ゆうげん	美味しかった
09:52	ゆうげん	どっちも
10:27	あすか 11/19 8/11	美味しいよね
10:27	あすか 11/19 8/11	私の最近の朝ごはん
10:27	あすか 11/19 8/11	でも、ちょい高
10:33	ゆうげん	いくらくらい?
10:41	あすか 11/19 8/11	200円は超えてる
12:06	ゆうげん	そこそこやった
12:34	ゆうげん	外暑すぎる
13:24	ゆうげん	またあすかのご飯食べたい
13:24	ゆうげん	鶏肉トマトも
13:24	ゆうげん	キャベツも
13:24	ゆうげん	美味しかった
13:24	ゆうげん	元気出た
14:00	あすか 11/19 8/11	外用事あったの？
14:00	あすか 11/19 8/11	嬉しい！
14:00	ゆうげん	ポカリ買いに行ってた
14:00	あすか 11/19 8/11	ゆーくんのおかげで久々に自分も普段食べない料理食べれた
14:00	あすか 11/19 8/11	そうなんやね！
14:02	ゆうげん	明日香の料理は
14:03	ゆうげん	すごい俺の好みというかわがまま組んでくれてるから
14:03	ゆうげん	バクバク食べれる
14:03	ゆうげん	湿度低くて
14:03	ゆうげん	好きな夏
14:03	ゆうげん	ただクソ暑い
14:04	あすか 11/19 8/11	美味しいって食べてもらえるの嬉しいから
14:04	あすか 11/19 8/11	寄せれるとこは寄せたい、ゆーくんの好みに
14:04	あすか 11/19 8/11	まだ外におるの？？
14:05	ゆうげん	おうちおうち
14:05	ゆうげん	お昼に出てた
14:05	あすか 11/19 8/11	あ、そかそか
14:06	あすか 11/19 8/11	今日はずっとおうち居てる私とナギは
14:15	ゆうげん	暑いもんね
14:15	ゆうげん	無理せずね
14:15	ゆうげん	また明日香のご飯食べさせてね
14:15	ゆうげん	"あと
ナギのミノン"
14:15	ゆうげん	今週末持って帰るね
14:39	ゆうげん	次なんやろー
14:39	ゆうげん	ロールキャベツ食べたい
16:04	あすか 11/19 8/11	うん、またご飯作るね
16:04	あすか 11/19 8/11	ミノンありがとう！！
16:05	あすか 11/19 8/11	やっぱロールキャベツなのね🍽
16:05	ゆうげん	数年食べてないから
16:05	ゆうげん	あすかのキャベツロール食べたい
16:09	あすか 11/19 8/11	次はロールキャベツ作るね！
16:09	ゆうげん	ありがとう
16:09	ゆうげん	[スタンプ]
16:18	あすか 11/19 8/11	がんばります👩🏼‍🍳💂‍♂️
16:19	ゆうげん	一緒に餃子のお店行きたい
16:38	あすか 11/19 8/11	餃子とからあげ？のとこ？
16:38	ゆうげん	レモンサワーと
16:38	ゆうげん	餃子
16:38	ゆうげん	唐揚げもあったっけ
16:38	あすか 11/19 8/11	あそこ美味しいよねーー
16:38	あすか 11/19 8/11	また行きたいね
16:39	あすか 11/19 8/11	おいしい餃子食べたい
16:39	ゆうげん	天王寺と
16:39	ゆうげん	難波にもあるって
16:40	あすか 11/19 8/11	難波の方言ってたよな？いつも
16:40	ゆうげん	いつもは
16:40	あすか 11/19 8/11	行ってた
16:40	ゆうげん	アメ村店
16:41	ゆうげん	心斎橋
16:41	あすか 11/19 8/11	あ、そうそう
16:41	ゆうげん	難波の駅近にもあるって
16:41	あすか 11/19 8/11	あ、そうなのね
16:41	ゆうげん	ああいうちょっとジャンキーなお店行きたい
16:42	あすか 11/19 8/11	美味しい餃子ないかな〜
16:42	あすか 11/19 8/11	🥟
16:42	あすか 11/19 8/11	おうちで食べれるヤツ🥟
16:50	ゆうげん	おうちはなぁ
16:51	ゆうげん	やっぱりお店には勝てない
16:51	あすか 11/19 8/11	それはそやけど〜
16:51	あすか 11/19 8/11	きっとおいしいのあるよ
17:15	ゆうげん	さがそ
17:15	ゆうげん	きょうね
17:15	ゆうげん	牛すじ煮込み作ってる
17:17	あすか 11/19 8/11	え
17:17	あすか 11/19 8/11	珍しい
17:18	ゆうげん	今日ポカリ買いにスーパーいって
17:18	ゆうげん	黒毛和牛スジが
17:18	ゆうげん	半額やった
17:18	あすか 11/19 8/11	そうなのね
17:18	ゆうげん	"そうなの
楽しみ"
17:18	あすか 11/19 8/11	ホットクック？
17:19	ゆうげん	いやお鍋
17:19	ゆうげん	自作
17:19	ゆうげん	お肉料多くてホットクック入らん
17:22	あすか 11/19 8/11	そなのか(笑)
17:22	あすか 11/19 8/11	出来上がったら見せて〜(emoji)
17:57	ゆうげん	おけい
17:57	ゆうげん	味見したけど
17:57	ゆうげん	美味しいけど
17:57	ゆうげん	油っこい
17:57	ゆうげん	[スタンプ]
18:10	あすか 11/19 8/11	食べすぎたらダメよ
18:10	あすか 11/19 8/11	胃もたれする
18:10	あすか 11/19 8/11	どんなん？
18:11	ゆうげん	[写真]
18:11	ゆうげん	大根卸しとポン酢で食おかな
18:12	あすか 11/19 8/11	下茹でとかせずそのまま煮込んだ感じか
18:12	ゆうげん	いや
18:12	ゆうげん	下茹でして
18:12	ゆうげん	汚れ落として
18:12	ゆうげん	水入れ直して
18:12	ゆうげん	これ
18:12	あすか 11/19 8/11	あらま
18:12	あすか 11/19 8/11	おろしポン酢いいね
18:13	あすか 11/19 8/11	でも食べすぎたらあかんよ！
18:13	あすか 11/19 8/11	胃もたれするよ
18:13	ゆうげん	仕事終わったら大根卸し買いに行こ
18:13	あすか 11/19 8/11	晩ご飯これだけ？
18:13	ゆうげん	これとゆで卵
18:14	ゆうげん	あとほうれん草のおひたし
18:14	あすか 11/19 8/11	いいね、ゆで卵とほうれん草のおひたし
18:14	あすか 11/19 8/11	ほうれん草のおひたし手作り？
18:15	ゆうげん	手作りよ
18:15	ゆうげん	ほうれん草チンして
18:15	ゆうげん	サッと水で洗って
18:15	ゆうげん	ポン酢と鰹節とごま
18:16	あすか 11/19 8/11	ポン酢のおひたし
18:16	あすか 11/19 8/11	おいしそーね
18:24	ゆうげん	牛すじ煮込み濃いから
18:24	ゆうげん	あっさり欲しかった
19:02	あすか 11/19 8/11	あっさりいるよね
19:02	あすか 11/19 8/11	[写真]
19:02	あすか 11/19 8/11	[写真]
19:02	あすか 11/19 8/11	今から晩ご飯
19:03	ゆうげん	トマトと
19:03	ゆうげん	みっべじは
19:03	ゆうげん	必須品ね
19:04	あすか 11/19 8/11	"毎回は出てないけどね、
量少ないかなって思ったら
ミックスベジタブル"
19:04	ゆうげん	ナギ誕生日前に
19:04	ゆうげん	髪切りたいね
19:04	あすか 11/19 8/11	ナギちゃんね〜
19:04	あすか 11/19 8/11	整えたいよね
19:04	ゆうげん	美容室かどっかで
19:04	あすか 11/19 8/11	[写真]
19:04	あすか 11/19 8/11	ナギとおなじ
19:04	ゆうげん	美味しそう
19:04	ゆうげん	さもん
19:04	あすか 11/19 8/11	美容室…いけるかなぁ
19:04	ゆうげん	一緒に行ったらいいやん笑
19:05	あすか 11/19 8/11	ん？
19:05	ゆうげん	同じお店に2人で
19:05	あすか 11/19 8/11	一緒に行くのは当たり前
19:05	あすか 11/19 8/11	"私行ってるとこは
子どものカットとか
慣れてなさそ"
19:05	あすか 11/19 8/11	知らんけど
19:05	ゆうげん	うちの母も切れるけど
19:05	ゆうげん	なぎ暴れそう
19:05	あすか 11/19 8/11	てかどんな髪型するかよな
19:06	あすか 11/19 8/11	"美容室やろうが私やろうが
誰やろうがじっとはしてないやろ"
19:06	あすか 11/19 8/11	"YouTube見せながらやったら
少しは切らせてくれるかもやけど"
19:07	ゆうげん	[写真]
19:07	ゆうげん	[写真]
19:07	ゆうげん	[写真]
19:07	ゆうげん	[写真]
19:07	ゆうげん	[写真]
19:08	あすか 11/19 8/11	ボリュームないから無理やなこれは
19:08	ゆうげん	1こめ行けるやろ
19:08	あすか 11/19 8/11	無理やろ
19:08	あすか 11/19 8/11	そんな前髪ない
