1/19 8/11	今度は23日に帰ってくる？
14:53	ゆうげん	せやね
14:53	ゆうげん	そこで帰る予定
16:09	あすか 11/19 8/11	24日さ、多分10.11時くらいから14.15時くらいまでやねんけど、
16:09	あすか 11/19 8/11	友だちとか会ってきていいー？
16:13	ゆうげん	うん
16:13	ゆうげん	ナギも?
17:16	あすか 11/19 8/11	そ、ナギも
17:16	あすか 11/19 8/11	前の4人組で遊ぶ予定なのよ
17:16	あすか 11/19 8/11	その間だけﾊﾟﾊﾟちょっとお昼寝なりでゆっくりしててぇ
17:55	ゆうげん	"わかった
屋上仕上げとく"
18:31	あすか 11/19 8/11	ゆっくりしてていいよ、お昼寝とかで
18:32	あすか 11/19 8/11	ごめんね
18:32	あすか 11/19 8/11	今日屋上ちょっと行ったんやけどさ
18:32	あすか 11/19 8/11	[写真]
18:32	あすか 11/19 8/11	みてw
18:32	ゆうげん	また生意気な
18:33	ゆうげん	結構屋上で遊んでくれてるから
18:33	あすか 11/19 8/11	誰やこんな寝転び方教えたの(笑)
18:33	ゆうげん	"作ってよかったって思う

俺では無いと思うけどなぁ"
18:33	ゆうげん	顔も事故ってるし
18:34	あすか 11/19 8/11	私も教えてない、YouTubeか笑
18:35	あすか 11/19 8/11	そ、この寝転び方したの一瞬やって
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	今日もﾊﾞﾚﾝﾀｲﾝｺｰﾃﾞ写真撮った
18:36	あすか 11/19 8/11	かわい
18:47	ゆうげん	[写真]
18:47	ゆうげん	ひどい
18:48	あすか 11/19 8/11	こういうの絶対撮れちゃう
19:13	ゆうげん	でも可愛いからおっけい
20:24	あすか 11/19 8/11	[写真]
20:25	あすか 11/19 8/11	こないだ撮ったこれおもろいwかわいい
20:35	ゆうげん	やっぱり
20:35	ゆうげん	我が子はいいな
20:36	ゆうげん	どの写真見てもにやけたり微笑んだりできる
20:43	あすか 11/19 8/11	https://store.shopping.yahoo.co.jp/rush-mall/mantlepiece002.html?sc_i=shp_sp_search_sproitem_itmnm#Stock=1675770202265
20:44	ゆうげん	ふむ
21:13	あすか 11/19 8/11	[写真]
21:13	あすか 11/19 8/11	かわいい
21:16	あすか 11/19 8/11	https://item.rakuten.co.jp/sakoda-online/sh1/
21:17	ゆうげん	完成図ほしい
21:17	あすか 11/19 8/11	モールディングより床優先したいなぁ
