11/19 8/11	そうやな、キツイやろな
21:17	ゆうげん	うーーーん
21:25	ゆうげん	ややなぁ
21:39	あすか 11/19 8/11	ぺこちゃんの気持ちは計り知れんな、きついとかそんな言葉で片付けれんやろな
22:06	ゆうげん	しかも旅行中やし
22:06	ゆうげん	昨日キッズ誕生日やし
22:06	あすか 11/19 8/11	旅行中なん？
22:06	ゆうげん	らしい
22:08	あすか 11/19 8/11	3人で？
22:09	ゆうげん	2人で
22:09	ゆうげん	りゅうちぇる除く
22:09	あすか 11/19 8/11	やんな
22:10	ゆうげん	りゅうちぇるは好きくないが
22:10	ゆうげん	これは良くないな
22:19	あすか 11/19 8/11	どんな形でもあれやけど、自殺は特にな、きついな
23:05	ゆうげん	元気だしてこ
23:05	ゆうげん	俺は死なんでー

2023/07/13(木)
09:40	あすか 11/19 8/11	おはよう
09:51	ゆうげん	おはようやで
09:51	ゆうげん	やっと帰れる
09:51	ゆうげん	お祭りやる?
09:51	ゆうげん	花火はしたいね
09:54	あすか 11/19 8/11	おうちえんにちは8月でもいいかなーとか思ってる、準備したい
09:54	あすか 11/19 8/11	花火はしたいな
11:01	ゆうげん	おけ
11:01	ゆうげん	花火しよか
11:33	あすか 11/19 8/11	しよー
11:41	ゆうげん	手持ちでいい?
12:51	あすか 11/19 8/11	むしろ手持ちがいい
12:51	あすか 11/19 8/11	煙少ないやつ
12:57	ゆうげん	おけけ
13:58	あすか 11/19 8/11	そういえば
13:59	ゆうげん	ん?
13:59	あすか 11/19 8/11	朝  やっと帰れる言ってたけど
13:59	あすか 11/19 8/11	明日やんな？バス乗るの
14:00	ゆうげん	うん
14:00	あすか 11/19 8/11	一瞬今日金曜日かと思った
14:01	ゆうげん	みすみす
14:02	あすか 11/19 8/11	[写真]
14:02	あすか 11/19 8/11	[写真]
14:02	あすか 11/19 8/11	24せんち？
14:03	ゆうげん	24やね
14:03	ゆうげん	名前OOMEGAね
14:04	あすか 11/19 8/11	昨日写真撮ったんやけどこの2つ撮っただけでダウンした
14:04	あすか 11/19 8/11	今日出しとく
14:07	ゆうげん	サンダルは今が売れ時やから
14:08	ゆうげん	お願いします
14:08	ゆうげん	nikeのサンダルも
14:08	ゆうげん	すぐ売れるから
14:08	ゆうげん	出しといてくれたら助かる
14:08	ゆうげん	さっきのOOMEGAは13500くらいスタートでいいと思う
17:02	ゆうげん	今月末
17:02	ゆうげん	来月末
17:02	ゆうげん	2日休み取ったで
19:11	あすか 11/19 8/11	今月末来月末？
19:11	ゆうげん	うん
19:12	ゆうげん	9/1も
19:17	あすか 11/19 8/11	今月末来月待つっていつ？
19:17	ゆうげん	7/27、28
19:17	ゆうげん	8/31、9/1
19:19	あすか 11/19 8/11	27日いけるかな、暑すぎて体調不安すぎw
19:19	あすか 11/19 8/11	どこの神社行くかも決めてない
19:19	ゆうげん	がんばろ
19:19	ゆうげん	住吉やろ
19:19	あすか 11/19 8/11	住吉は無理すぎ
19:20	ゆうげん	車で
19:20	あすか 11/19 8/11	またお礼参りって言ってなんか返しに行かなあかんかったりするし
19:20	あすか 11/19 8/11	鳳大社にしようかな
19:20	ゆうげん	でもおk
19:20	あすか 11/19 8/11	車も誰にも声掛けてないや
19:21	あすか 11/19 8/11	この暑さで行くの不安すぎてはっきり予定立てれてない
19:21	ゆうげん	頑張るか
19:24	あすか 11/19 8/11	大鳥大社、安産祈願7000円～やって
20:04	あすか 11/19 8/11	[写真]
20:04	ゆうげん	ほれ
20:04	ゆうげん	みてみ
20:05	ゆうげん	売れる売れる
20:05	ゆうげん	まだ在庫あったっけ?
20:06	あすか 11/19 8/11	どーやろ
20:08	ゆうげん	この調子で
20:08	ゆうげん	貯めてこ
20:19	あすか 11/19 8/11	もう一個の色値下げ可能かコメント来た
20:21	ゆうげん	500円なら可能
20:21	あすか 11/19 8/11	おけ
20:24	ゆうげん	できる限り早く打ち切りたいから
20:24	ゆうげん	在庫数だけ見といて
20:25	あすか 11/19 8/11	打ち切りたい？
20:25	ゆうげん	売り切り
20:28	あすか 11/19 8/11	[写真]
20:28	あすか 11/19 8/11	[写真]
20:28	あすか 11/19 8/11	[写真]
20:28	あすか 11/19 8/11	[写真]
20:28	あすか 11/19 8/11	[写真]
20:28	ゆうげん	OOMEGA売ってこ
20:29	ゆうげん	14000で出して
20:34	あすか 11/19 8/11	[写真]
20:35	あすか 11/19 8/11	残り二つも24cm？
20:37	ゆうげん	W7:24
20:38	あすか 11/19 8/11	24てことやんな？
20:38	ゆうげん	unn
21:05	あすか 11/19 8/11	これと全く同じものか
21:47	ゆうげん	そうそう
21:47	ゆうげん	さて
21:47	ゆうげん	マクドから帰るか

2023/07/14(金)
00:15	あすか 11/19 8/11	おつかれさま
00:16	ゆうげん	"仕事って言うより
AIとプログラム作るのが楽しい"
00:16	ゆうげん	オタク気質やな
00:16	ゆうげん	アスカもお疲れ様
00:28	あすか 11/19 8/11	何かと流行ってるし感染予防忘れずに。
00:28	あすか 11/19 8/11	[写真]
00:28	あすか 11/19 8/11	NIKEのサンダルってどれ？
00:28	ゆうげん	?
00:29	ゆうげん	ベージュのやつ
00:29	ゆうげん	したかなぁ
00:29	あすか 11/19 8/11	明日余裕あれば出品します
00:29	ゆうげん	あとニューバランスも出して欲しいな
00:30	あすか 11/19 8/11	ニューバランス…どれや…また明日見る
00:30	ゆうげん	今月中に5マン行こ
00:30	ゆうげん	売上
00:30	あすか 11/19 8/11	一旦今3つ売れてるから土曜日発送してもらえるとありがてぇ
00:30	ゆうげん	どれ売れてるの?
00:30	あすか 11/19 8/11	[写真]
00:31	あすか 11/19 8/11	上の3つ
00:31	ゆうげん	土曜出すって言っといて
00:31	あすか 11/19 8/11	言ってる
00:31	ゆうげん	30000くらいか
00:31	ゆうげん	利益
00:32	あすか 11/19 8/11	"グレーの購入者さんが
もし出来ればで大丈夫やから
日曜日午前中指定にして
欲しいって言ってた、
全然出来ればで大丈夫って"
00:32	ゆうげん	ベージュじゃなくて?
00:33	あすか 11/19 8/11	ベージュやと思ってるけど袋にはグレーって書いてた気が
00:58	ゆうげん	ふむ
10:23	あすか 11/19 8/11	おはよう
10:24	あすか 11/19 8/11	ニューバランスめっちゃあるやん、どれや
10:24	あすか 11/19 8/11	[写真]
10:24	あすか 11/19 8/11	[写真]
10:25	あすか 11/19 8/11	これはどんなこと書いてどれくらいの値段で出すん？？
10:25	ゆうげん	おはよう
10:25	ゆうげん	nikeは16000
10:26	ゆうげん	[写真]
10:26	ゆうげん	"上が24000
下が28000"
10:27	ゆうげん	高めに出して下げていく
10:28	あすか 11/19 8/11	それぞれ商品名的なの調べたら説明出てくる？商品のことわからんすぎて何書いたらいいかわからん
10:28	ゆうげん	出てくる
10:28	あすか 11/19 8/11	箱付きとかも入れてた方がいいの？
10:29	ゆうげん	全部揃ってるっていったらいい
10:30	あすか 11/19 8/11	全部揃ってる？
10:31	ゆうげん	備品管理って言えばいい
10:31	あすか 11/19 8/11	備品管理…
10:31	ゆうげん	完備
10:31	ゆうげん	備品完備
10:31	あすか 11/19 8/11	まぁとりあえず写真撮る
10:32	あすか 11/19 8/11	合間合間で商品調べたりなんやらします
10:36	ゆうげん	お願いします
18:02	ゆうげん	あーーーー
18:02	ゆうげん	眠い
20:17	あすか 11/19 8/11	結局調べれてない
20:17	あすか 11/19 8/11	やらないとー、、
20:18	ゆうげん	後で渡すわ

2023/07/15(土)
12:44	あすか 11/19 8/11	どっか寄ってる？
14:30	あすか 11/19 8/11	[写真]
14:30	あすか 11/19 8/11	[写真]
14:32	あすか 11/19 8/11	2つ目
14:32	あすか 11/19 8/11	[写真]
14:32	あすか 11/19 8/11	[写真]
14:32	あすか 11/19 8/11	[写真]
14:34	あすか 11/19 8/11	3つ目
14:34	あすか 11/19 8/11	[写真]
14:34	あすか 11/19 8/11	[写真]
18:07	あすか 11/19 8/11	[写真]

2023/07/16(日)
12:54	ゆうげん	☎ 通話時間 2:35
12:56	あすか 11/19 8/11	サラダとオニポテ食べたい
12:56	あすか 11/19 8/11	"ハンバーガーは
モスバーガーかテリヤキチキンか……かな"
12:57	ゆうげん	OK
12:57	ゆうげん	豚肉ミルフィーユは
12:57	ゆうげん	明日にするか
12:58	あすか 11/19 8/11	今日の晩は小籠包？
12:58	ゆうげん	そそ
12:58	ゆうげん	ピーマンとしょうろんぽ
