ゆうげん	あすか
08:38	ゆうげん	おはよ
09:42	あすか 11/19 8/11	おはよう
09:42	ゆうげん	今日も無理せずにね
09:43	ゆうげん	あと1週間ちょいで会えるから
09:43	ゆうげん	もうちょっと頑張ろ
09:43	あすか 11/19 8/11	がんばろ
09:46	ゆうげん	もし早めに帰れたら
09:46	ゆうげん	"早めに帰るね
アレやったら最初は実家とかでもいいし"
09:54	ゆうげん	今日はお仕事終わったら
09:54	ゆうげん	脱毛行ってくるよ
09:54	ゆうげん	帰ったら電話しよ
10:55	あすか 11/19 8/11	うん、また教えて
10:55	あすか 11/19 8/11	きをつけてね
11:20	ゆうげん	もちもち
11:20	ゆうげん	まま
11:20	ゆうげん	いつもありがとうね
12:28	あすか 11/19 8/11	なに急に（笑）
12:28	あすか 11/19 8/11	なぎ寝た
12:31	ゆうげん	なに
12:31	ゆうげん	労ってるの
12:33	あすか 11/19 8/11	急だね
12:36	ゆうげん	会いたいなって
12:36	ゆうげん	おもて
12:50	あすか 11/19 8/11	コロナの状況悪くならなかったらいいね
12:50	あすか 11/19 8/11	出社はどんな感じか聞けた？
12:53	ゆうげん	"いや
まだ聞けてない

お昼終わりに聞きたい"
12:54	あすか 11/19 8/11	"帰って来れそうな日
決まったら教えて欲しい"
14:55	ゆうげん	おけけ
14:55	ゆうげん	ママのパスタ食べたい
15:42	あすか 11/19 8/11	レモン？
15:42	ゆうげん	レモンも
15:42	ゆうげん	ほかのも
16:48	あすか 11/19 8/11	パスタ作ったのとかいつが最後やろ
16:48	あすか 11/19 8/11	[写真]
16:48	あすか 11/19 8/11	よくわからん
16:48	ゆうげん	んーーー??
16:48	ゆうげん	おミクロ(っ･д･)=⊃)ﾟ３ﾟ)'∴:.
16:49	あすか 11/19 8/11	どっちやねんてなるよな
16:49	あすか 11/19 8/11	どっちみちウザイコロナ
16:49	あすか 11/19 8/11	"オミクロン株とか小さい子も
多いらしいし無理すぎ"
16:57	ゆうげん	うーーん
16:57	ゆうげん	かえれるかなぁ
17:12	あすか 11/19 8/11	空港検疫の時は陰性で自宅帰ったけど後々コロナなってオミクロン株やった
17:12	あすか 11/19 8/11	ていうのがちらほら出てる気がする
