タスクID	タスク名	起票日時	最終更新日時	ステータス	優先度	期限	関連ファイル	進捗率	備考
BT-001	サンプルタスク1	2025-01-18 10:00	2025-01-18 15:30	進行中	高	2025-01-20	/daily/20250118/task1/task_detail.md, /daily/20250118/task1/output/report.pdf	60%	レビュー待ち
BT-002	生成AI活用のガバナンス策定検討	2025-01-20 15:27	2025-01-20 15:32	進行中	高	2024-01-17	/daily/20250120/ai_governance/task_detail.md, /daily/20250120/ai_governance/test_cases.md, /daily/20250120/ai_governance/output/task_list.md	10%	要件整理完了、タスクリスト作成完了
BT-003	生成AI定例MTG要点整理	2025-01-20 15:45	2025-01-20 17:15	完了	中	2025-01-21	/daily/20250120/ai_meeting/minute.md, /daily/20250120/ai_meeting/test_cases.md, /daily/20250120/ai_meeting/output/task_list.md	100%	議事録作成完了、タスクリスト作成完了
BT-004	生成AI活用キックオフ資料分析	2025-01-20 16:26	2025-01-20 16:26	完了	中	2025-01-20	/daily/20250120/ai_document_analysis/task_detail.md, /daily/20250120/ai_document_analysis/test_cases.md, /daily/20250120/ai_document_analysis/output/presentation_analysis.md	100%	分析レポート作成完了
BT-005	AIハンズオン資料作成	2025-01-21 10:00	2025-01-25 17:00	完了	高	2025-01-25	business_tasks_workspace/projects/company_ai_promotion/project_detail.md,business_tasks_workspace/projects/company_ai_promotion/archive/documents/manuals/ai_handson_guide.md	100%	新入社員向けAI活用ハンズオン教材作成完了
BT-006	アーキテクチャ検討会準備	2025-01-20 17:15	2025-01-20 17:15	新規	高	2025-01-22	/daily/20250120/ai_meeting/output/task_list.md	0%	Azure/Bedrock選定に向けた検討
BT-007	報告資料アップデート	2025-01-20 17:15	2025-01-22 09:14	完了	中	2025-01-24	/daily/20250120/ai_meeting/output/task_list.md	100%	報告資料アップデート完了
BT-008	生成AIのハンズオン資料作成	2025-01-21 23:26	2025-01-22 00:02	完了	高	2025-01-28	/daily/20250121/ai_handson/task_detail.md, /daily/20250121/ai_handson/test_cases.md, /daily/20250121/ai_handson/output/amazon_bedrock_handson.md	100%	ハンズオン資料作成完了
BT-009	プロンプトハンズオン資料作成	2025-01-25 14:30	2025-01-27 23:02	進行中	高	2025-01-30	business_tasks_workspace/projects/company_ai_promotion/project_detail.md,business_tasks_workspace/projects/company_ai_promotion/archive/documents/manuals/prompt_handson_guide_v2.md,/daily/20250127/prompt_handson/task_detail.md	0%	プロンプト設計実践ガイド作成
BT-010	RAGに関するハンズオン資料作成	2025-01-27 22:56	2025-01-27 22:56	新規	高	2025-02-03	business_tasks_workspace/projects/company_ai_promotion/archive/documents/manuals/rag_handson_guide.md,/daily/20250127/rag_handson/task_detail.md	0%	RAGに関するハンズオン資料作成
