/11	ボサボサ頭で食パン頬張る梛人
09:59	ゆうげん	めっちゃかわいい
09:59	ゆうげん	今起きた
10:34	あすか 11/19 8/11	おはよ
10:34	あすか 11/19 8/11	髪の毛凄いよね（笑）
10:35	ゆうげん	目もすごい
10:35	ゆうげん	ギラついてる
10:39	ゆうげん	[写真]
10:39	ゆうげん	受かったんやって
10:40	ゆうげん	おめでとうさんや
11:33	あすか 11/19 8/11	第1志望校？
11:33	あすか 11/19 8/11	おめでとうやね
11:33	ゆうげん	"いや
滑り止めやって"
11:33	あすか 11/19 8/11	そうなんやね
11:33	あすか 11/19 8/11	でも一安心やね
11:33	ゆうげん	第1志望は高津高校あたりだって
11:33	あすか 11/19 8/11	滑り止めで四天王寺って
11:34	あすか 11/19 8/11	棚橋とは違うな國松は
11:34	あすか 11/19 8/11	すげぇ
11:35	ゆうげん	四天王寺東やから
11:35	ゆうげん	普通ちゃう?
11:35	ゆうげん	レベル帯
11:38	あすか 11/19 8/11	棚橋からしたらすごいよ
11:38	あすか 11/19 8/11	私としゅんは私立専願やし
11:38	ゆうげん	ママは十分いけるやと
11:38	ゆうげん	やろ
11:38	あすか 11/19 8/11	亮介はこの辺で1番やんちゃでアホな公立（笑）
11:38	あすか 11/19 8/11	いやぁ、どうだろね
11:40	ゆうげん	"勉強とか時間かけたら誰でも出来るからな

大丈夫やて"
11:42	あすか 11/19 8/11	まぁ
11:43	あすか 11/19 8/11	でも時間かけることもそうやけど、誰でもできるわけじゃないからレベルがあるわけやし
11:43	あすか 11/19 8/11	すごいね、おめでとうだね
11:48	ゆうげん	よかったよ
11:48	ゆうげん	ほんと
12:01	あすか 11/19 8/11	だね
12:02	あすか 11/19 8/11	[写真]
12:02	あすか 11/19 8/11	[写真]
12:02	あすか 11/19 8/11	昨日今日のお昼ご飯
12:02	ゆうげん	2個目上キムチ?
12:02	あすか 11/19 8/11	[写真]
12:02	あすか 11/19 8/11	[写真]
12:03	あすか 11/19 8/11	え、ちゃうちゃう（笑）
12:03	あすか 11/19 8/11	じゃがいものガレット
12:03	あすか 11/19 8/11	じゃがいも細くスライスして青のり
12:07	ゆうげん	なぎちゃん
12:07	ゆうげん	容赦ない鼻刺し
12:08	ゆうげん	べろかわいい
12:08	ゆうげん	ガレット
12:08	ゆうげん	単語はオシャレ
12:11	あすか 11/19 8/11	鼻刺しでこんな笑顔
12:11	あすか 11/19 8/11	悪ガキ
12:12	あすか 11/19 8/11	青のりの風味も良いみたいでなぎちゃん好きだよ
12:13	あすか 11/19 8/11	[写真]
12:13	あすか 11/19 8/11	[写真]
12:13	あすか 11/19 8/11	[写真]
12:13	あすか 11/19 8/11	[写真]
12:13	あすか 11/19 8/11	[写真]
12:13	あすか 11/19 8/11	[写真]
12:13	あすか 11/19 8/11	[写真]
12:14	ゆうげん	[写真]
12:14	ゆうげん	[写真]
12:14	ゆうげん	[写真]
12:14	ゆうげん	これ好き
12:31	あすか 11/19 8/11	亮介昨日梛のこと見といてくれる感じやったのにさっき声掛けに行ったら忘れてたっぽくて好きな人と電話しながらドラマ見るから無理って言われてしゅん起こしてみたけどなんか起きてくるか微妙な感じ
12:31	あすか 11/19 8/11	そしてこんな時に梛うんちしてるっぽい
12:31	あすか 11/19 8/11	もーーーーーーーーー
12:31	ゆうげん	ほんま頼りならん
12:31	ゆうげん	しゃあない
12:31	ゆうげん	なぎちゃんもいこ
12:36	あすか 11/19 8/11	まぁでも自分のこと優先するよねそりゃ
12:36	あすか 11/19 8/11	しゅんが起きてきてくれた
12:37	ゆうげん	お
12:41	あすか 11/19 8/11	よかった
12:44	ゆうげん	いそげよぉーー
12:57	あすか 11/19 8/11	そんなことわかってる
12:57	あすか 11/19 8/11	けど
12:57	あすか 11/19 8/11	ちょいおくれそ
12:57	ゆうげん	大丈夫大丈夫
12:57	あすか 11/19 8/11	はァ
12:57	ゆうげん	気をつけて
13:00	あすか 11/19 8/11	最後の信号ひっかかった
13:01	ゆうげん	ゆっくりゆっくり
13:01	ゆうげん	まだ向こうも準備できてないっぽいし
13:01	あすか 11/19 8/11	アウター放り投げたいくらいあちぃ
13:01	ゆうげん	ゆっくりゆっくり
13:02	あすか 11/19 8/11	信号待ち
13:02	ゆうげん	コケたらあかんよ
13:06	あすか 11/19 8/11	ついた、、
13:08	あすか 11/19 8/11	きこえてる？？
13:08	ゆうげん	きこえない
13:15	ゆうげん	☎ 通話時間 5:55
13:28	ゆうげん	☎ 通話時間 1:00
15:08	あすか 11/19 8/11	[写真]
15:21	あすか 11/19 8/11	[写真]
15:23	ゆうげん	[写真]
15:26	あすか 11/19 8/11	りびあす
15:41	あすか 11/19 8/11	[写真]
15:41	あすか 11/19 8/11	[写真]
15:41	あすか 11/19 8/11	[写真]
15:41	あすか 11/19 8/11	[写真]
15:42	あすか 11/19 8/11	これの3枚目とか？理想
15:43	あすか 11/19 8/11	ボトルトラップ
15:50	あすか 11/19 8/11	[写真]
16:16	あすか 11/19 8/11	[写真]
16:16	あすか 11/19 8/11	[写真]
16:30	あすか 11/19 8/11	玄関ドア ykk
16:50	ゆうげん	☎ 通話時間 3:21:04
16:57	ゆうげん	ままありがとう
16:57	ゆうげん	長い時間
17:05	あすか 11/19 8/11	ゆー君もお疲れ様！
17:05	あすか 11/19 8/11	いまでたよーー
17:05	ゆうげん	進展あってよかった
17:20	あすか 11/19 8/11	疲れた（笑）
17:21	あすか 11/19 8/11	また夜話せたら話したい
17:21	ゆうげん	おけい
17:22	あすか 11/19 8/11	梛13:30~15:50
17:22	あすか 11/19 8/11	寝てたらしい
17:22	ゆうげん	めっちゃ寝てるやん
17:23	あすか 11/19 8/11	夜遅くなりそー就寝
17:23	あすか 11/19 8/11	ふぇぇ、、
17:25	あすか 11/19 8/11	でも出来れば今日夜話したいなぁ
17:26	あすか 11/19 8/11	[写真]
17:26	あすか 11/19 8/11	今日はまたなんかキャンペーンでこんなんもらった
17:26	あすか 11/19 8/11	絵ももらったよ
17:26	ゆうげん	毎日キャンペーン
17:27	あすか 11/19 8/11	"なぎに見せたら
パー！マー！ちゃん！
て言っててさ"
17:27	あすか 11/19 8/11	動画撮ろうとしたら言わん
17:27	ゆうげん	かわい
17:27	あすか 11/19 8/11	壁材のも貰ったし今日は一緒にカタログとか色々見れたら見たい
17:27	ゆうげん	わかるんやね
17:27	あすか 11/19 8/11	出来るだけ早く寝かせられるようにがんばろーー
17:28	ゆうげん	おけ
17:28	あすか 11/19 8/11	ね、わかるんやね
17:28	ゆうげん	無理せずな
17:28	あすか 11/19 8/11	ゆーくんもね！
17:30	あすか 11/19 8/11	[写真]
17:30	あすか 11/19 8/11	みてーーおいしそ
17:30	ゆうげん	いいね
17:30	ゆうげん	ママのおやつとして食べや
17:30	あすか 11/19 8/11	うん、食べる（笑）
17:31	あすか 11/19 8/11	色々忘れんうちに話したい
17:37	ゆうげん	待ってるで
17:37	ゆうげん	仮眠しよかな
17:38	あすか 11/19 8/11	うん、疲れたやろうし寝りー
17:39	あすか 11/19 8/11	私はナギと2人きりやしあと1時間後くらい晩ご飯やし
17:39	あすか 11/19 8/11	頑張って遊ぶわ笑
17:39	ゆうげん	[スタンプ]
17:39	あすか 11/19 8/11	ん。てなんや
17:39	あすか 11/19 8/11	（笑）
17:43	ゆうげん	[スタンプ]
17:46	あすか 11/19 8/11	[スタンプ]
17:46	あすか 11/19 8/11	スタンプ間違えた
17:46	あすか 11/19 8/11	[スタンプ]
17:46	あすか 11/19 8/11	こっち正解
18:55	ゆうげん	もうご飯?
19:20	あすか 11/19 8/11	今からご飯ーー
19:24	ゆうげん	何食べるの??
19:27	あすか 11/19 8/11	"ナギはふりかけご飯
鶏とブロッコリーのハンバーグ
じゃがいものガレット
人参＆いんげん
かぼちゃ"
19:28	あすか 11/19 8/11	"私は
ほうれん草ポン酢で
あと551の豚まん"
19:28	ゆうげん	551
19:28	ゆうげん	懐かしい
19:28	あすか 11/19 8/11	杉本さんがくれたらしい
19:28	ゆうげん	杉本彩さん?
19:28	あすか 11/19 8/11	だれw
19:29	ゆうげん	[写真]
19:29	あすか 11/19 8/11	それはわかる笑
19:29	ゆうげん	[スタンプ]
19:29	あすか 11/19 8/11	なんか簡単にできるご飯尽きてきた
19:29	ゆうげん	うーん
19:29	あすか 11/19 8/11	また買い物しなきゃー
19:30	ゆうげん	缶ずめ
19:30	ゆうげん	は?
19:30	あすか 11/19 8/11	高くない？缶詰め
19:30	ゆうげん	物によるけど
19:30	ゆうげん	安くはないな
19:31	あすか 11/19 8/11	尽きてきたって言うのは
19:31	あすか 11/19 8/11	ストックなくなってきたってこと
19:31	あすか 11/19 8/11	だよ
19:31	ゆうげん	また
19:31	ゆうげん	作らないと
19:31	あすか 11/19 8/11	だから今日は肉まんとほうれん草
19:32	ゆうげん	肉まんそう
19:32	あすか 11/19 8/11	肉まんそう？笑
19:32	ゆうげん	ほうれんまん
19:32	あすか 11/19 8/11	また作るとは？
19:32	ゆうげん	ストック
19:33	あすか 11/19 8/11	自分のストックは作らんよ
19:33	あすか 11/19 8/11	お茶漬けとかちょっと雑炊とか他なんか適当に簡単に出来るやつの買いだめがなくなった
19:33	ゆうげん	送らないと
19:33	ゆうげん	ままに
19:34	あすか 11/19 8/11	昨日のお昼も肉まん
19:34	あすか 11/19 8/11	節約
19:35	あすか 11/19 8/11	になって助かる〜
19:36	ゆうげん	もっとママにはたんと食べて欲しい
20:40	あすか 11/19 8/11	[スタンプ]
