9 8/11	[写真]
15:32	あすか 11/19 8/11	[写真]
15:32	あすか 11/19 8/11	[写真]
15:32	あすか 11/19 8/11	[写真]
15:32	あすか 11/19 8/11	[写真]
15:32	あすか 11/19 8/11	[写真]
15:32	あすか 11/19 8/11	この人のインスタみてみて
15:32	あすか 11/19 8/11	他にも色々かいてるから
15:34	ゆうげん	"いや
サッと見といて"
15:34	ゆうげん	違うブログ見とく
15:36	あすか 11/19 8/11	[写真]
15:36	あすか 11/19 8/11	[写真]
15:36	あすか 11/19 8/11	[写真]
15:37	ゆうげん	代名詞多すぎてみる気失せる
15:39	あすか 11/19 8/11	そんな言い方しいなや
15:39	あすか 11/19 8/11	フルハイドアも参考にしたくせに
15:40	あすか 11/19 8/11	[スタンプ]
15:40	ゆうげん	"いいものは盗む
でもインスタとかYouTubeの鉄板誘い文句は嫌い"
15:40	あすか 11/19 8/11	そんなん知らんけど
15:40	あすか 11/19 8/11	他はもういい？
15:40	あすか 11/19 8/11	スクショいらん？
15:41	ゆうげん	大丈夫
15:41	あすか 11/19 8/11	もともと知ってた感めっちゃウケる
15:41	あすか 11/19 8/11	フルハイドア
15:42	ゆうげん	いいものは即盗む
15:44	あすか 11/19 8/11	"参考にするとか
真似するとか"
15:44	あすか 11/19 8/11	言い方かえなはれ
15:44	あすか 11/19 8/11	自分もともと知ってましたよみたいな言い方がなんかせこいww
15:44	ゆうげん	世の中そういうもんや
15:47	あすか 11/19 8/11	"いやいや、私なら、
色々見ててフルハイドア
というものをみつけたのですが
みたいに言うわ（笑）"
15:47	ゆうげん	"しょうがない
俺みたいなのが勝っていく世の中や"
15:47	ゆうげん	[スタンプ]
15:48	ゆうげん	一応この人の生地全部読んだ
15:48	あすか 11/19 8/11	見栄っ張り
15:48	あすか 11/19 8/11	読んだんかーい
15:48	ゆうげん	[写真]
15:48	ゆうげん	[写真]
15:48	ゆうげん	このふたつは盗もう
15:51	あすか 11/19 8/11	"参考にしよう
真似しよう"
15:52	ゆうげん	"この人みたいに
白を貴重にする時は
少し黄色身がある"
15:52	ゆうげん	木材の方が映えるんよね
15:53	あすか 11/19 8/11	白を基調にしたいてわけではないとこもあるからなぁ
15:53	あすか 11/19 8/11	そこは真似たくない
15:54	あすか 11/19 8/11	黄色身はマジで嫌
15:55	ゆうげん	"グレー×白なら
金属で黒
植物で緑
ドライフラワーでベージュ

を足すのがいいと思う"
15:55	あすか 11/19 8/11	その雰囲気はいいと思う
15:56	あすか 11/19 8/11	"植物
ドライフラワー
てなんかどっちにしたいねんって感じはあるけど笑"
15:56	ゆうげん	あとは窓が限界まででかくできたらなぁ
15:57	ゆうげん	"いやドライフラワーは淡い色になるから

植物とはまた別"
16:00	あすか 11/19 8/11	程よく置きたいよね
16:00	あすか 11/19 8/11	ごちゃごちゃはさせたくないし
16:00	ゆうげん	最低限ね
16:11	あすか 11/19 8/11	[動画]
16:15	ゆうげん	黙々と
16:18	あすか 11/19 8/11	[動画]
16:18	あすか 11/19 8/11	[写真]
16:18	あすか 11/19 8/11	今日のお昼ご飯
16:27	ゆうげん	あら可愛い
16:28	ゆうげん	ウッディこわ
17:05	あすか 11/19 8/11	晩御飯の時間まで長すぎ
17:06	あすか 11/19 8/11	ずっと梛と二人で遊んでる
17:06	ゆうげん	なかなか大変
17:06	あすか 11/19 8/11	あと一時間半
17:07	あすか 11/19 8/11	"しゅんと亮介はゲームやし
ばぁばは休日を過ごしてる"
17:08	あすか 11/19 8/11	"iPhoneしてたら
手引っ張りにくる"
17:09	ゆうげん	俺がおったら
17:11	あすか 11/19 8/11	？
17:25	ゆうげん	一緒に遊べるのになって
17:45	あすか 11/19 8/11	そだね
17:45	あすか 11/19 8/11	[動画]
17:45	あすか 11/19 8/11	可愛いけどーつかれたー
17:59	ゆうげん	お疲れ様
21:56	ゆうげん	まま
21:56	ゆうげん	今日のお疲れ様
21:58	あすか 11/19 8/11	おつかれさまーー
21:58	あすか 11/19 8/11	先程寝ました
22:00	ゆうげん	ねー
22:00	ゆうげん	つかれたよーー
22:01	あすか 11/19 8/11	今日何したの
22:02	ゆうげん	ずっと部屋で
22:02	ゆうげん	寝っ転がってた
22:02	ゆうげん	なんもしてないから
22:02	ゆうげん	しんどい
22:08	あすか 11/19 8/11	逆にしんどいやつな
22:09	あすか 11/19 8/11	"今から腹筋とスクワットと
ゆーくん特有の癖のあるダンス"
22:09	あすか 11/19 8/11	したら
22:09	あすか 11/19 8/11	[スタンプ]
22:10	ゆうげん	癖あるダンス
22:10	ゆうげん	どれやろ
22:10	ゆうげん	いっぱいあるからわからんわ
22:10	あすか 11/19 8/11	どれでも良し
22:10	あすか 11/19 8/11	さぁ何からする
22:12	ゆうげん	あれするわ
22:12	ゆうげん	結構前に動画で撮った
22:12	ゆうげん	謎ダンス
22:12	あすか 11/19 8/11	どんなんやっけ
22:12	あすか 11/19 8/11	今自撮りして送って
22:12	あすか 11/19 8/11	（笑）
22:12	あすか 11/19 8/11	あ、
22:12	あすか 11/19 8/11	もしくはビデオ通話
22:13	ゆうげん	ちょっと待ってな
22:13	ゆうげん	といれ
22:20	ゆうげん	おけい
22:25	あすか 11/19 8/11	ちょとまってね
22:25	あすか 11/19 8/11	飲み物欲しい
22:28	あすか 11/19 8/11	いけふ）る
22:28	あすか 11/19 8/11	いける？
22:30	ゆうげん	あい
23:19	あすか 11/19 8/11	何も聞こえんくなった

2022/02/24(木)
03:14	あすか 11/19 8/11	☎ 通話時間 4:42:46
08:39	ゆうげん	おはよう
08:39	ゆうげん	起きてるよ
08:39	あすか 11/19 8/11	☎ 不在着信
08:39	あすか 11/19 8/11	よかったです
10:28	あすか 11/19 8/11	[写真]
10:28	あすか 11/19 8/11	[写真]
10:28	あすか 11/19 8/11	[写真]
10:28	あすか 11/19 8/11	色々メモったけど他メモっておきたいことある？
12:50	ゆうげん	いや
12:50	ゆうげん	ありがとう
12:50	ゆうげん	カマスってなに?
12:51	ゆうげん	あとロシアウクライナ戦争始まったから消耗品気をつけてね
13:09	ゆうげん	"ガソリン
トイレットペーパー
キッチンペーパー
などなど"
13:09	ゆうげん	あとオムツ
15:39	あすか 11/19 8/11	框(かまち？)
15:39	あすか 11/19 8/11	それってどう気をつけてたらいいの？
16:30	ゆうげん	そそ
16:30	ゆうげん	かまち
16:30	ゆうげん	"うーん
色々なくなったり"
16:30	ゆうげん	高くなること見越して動いた方がいいけど
16:31	ゆうげん	とりあえずそういうことが起きてるっていうのだけ認識しててな
16:31	ゆうげん	ガソリンも高なるから
