8/11	角地にするか
01:36	あすか 11/19 8/11	くらい
01:36	あすか 11/19 8/11	ねだんかわってくふ
01:36	あすか 11/19 8/11	値段変わってくる
01:36	あすか 11/19 8/11	ナギが顔の上乗ってきた
01:37	あすか 11/19 8/11	誤字
01:37	あすか 11/19 8/11	やば
01:37	あすか 11/19 8/11	虹色の戦争
01:38	あすか 11/19 8/11	[写真]
01:38	あすか 11/19 8/11	これみてもわかるやろ
01:38	あすか 11/19 8/11	角と真ん中
01:38	あすか 11/19 8/11	値段
01:38	あすか 11/19 8/11	そ
01:38	あすか 11/19 8/11	角ってだけで値段上がる
01:38	あすか 11/19 8/11	そこを妥協して家こだわる方が
01:39	あすか 11/19 8/11	いい気もする
01:39	あすか 11/19 8/11	[写真]
01:39	あすか 11/19 8/11	わかり辛いけど
01:39	あすか 11/19 8/11	こことなり
01:40	あすか 11/19 8/11	ハイツみたいなんで
01:40	あすか 11/19 8/11	駐車場やから
01:40	あすか 11/19 8/11	両側家まどなり
01:40	あすか 11/19 8/11	ていう窮屈感はなさそ
01:41	あすか 11/19 8/11	このハイツの反対側も
01:41	あすか 11/19 8/11	隣の家の駐車場
01:41	あすか 11/19 8/11	まぁでもここがどんな値段かとか
01:42	あすか 11/19 8/11	そこよな
01:42	あすか 11/19 8/11	土地だけで買ったら高いがな
01:42	あすか 11/19 8/11	早くマイホーム見通し持ちたいけど
01:42	あすか 11/19 8/11	むずすぎ
01:43	あすか 11/19 8/11	ここの土地は堺の方の不動産が
01:44	あすか 11/19 8/11	出してる
01:44	あすか 11/19 8/11	大きい道路とか
01:45	あすか 11/19 8/11	"そばにあったり
家の前で遊び辛いとこは"
01:45	あすか 11/19 8/11	嫌よなぁ
01:45	あすか 11/19 8/11	他に売り出してるとこは
01:46	あすか 11/19 8/11	道路沿いとか
01:46	あすか 11/19 8/11	なんて？
01:46	あすか 11/19 8/11	ナギに顔潰されて
01:46	あすか 11/19 8/11	片耳きこえへん
01:46	あすか 11/19 8/11	わら
01:46	あすか 11/19 8/11	なんて言った？笑
01:47	あすか 11/19 8/11	あぁ
01:47	あすか 11/19 8/11	なるほどw
01:47	あすか 11/19 8/11	まぁ
01:47	あすか 11/19 8/11	車とかは
01:47	あすか 11/19 8/11	出入りしやすい
01:47	あすか 11/19 8/11	中道よりは
01:48	あすか 11/19 8/11	"縦長の土地と古家は中道
て言ってもそんなに狭くはないけど"
01:48	あすか 11/19 8/11	"あとなんやろ、
うちのとこみたいに
家並んでるとこってさ"
01:48	あすか 11/19 8/11	外でBBQとかも出来ひん
01:49	あすか 11/19 8/11	隣の家とちょっと距離あったら
01:49	あすか 11/19 8/11	屋上作らんでもできる
01:49	あすか 11/19 8/11	下で
01:49	あすか 11/19 8/11	"屋上は欲しいけど、
それもだいぶ値段変わってくると思うから"
01:49	あすか 11/19 8/11	それなら家こだわる？てなる
01:50	あすか 11/19 8/11	いや、高いのはわかりきったことw
01:50	あすか 11/19 8/11	どこ重視してどこ妥協していくか
01:50	あすか 11/19 8/11	考えないと
01:50	あすか 11/19 8/11	"あれもこれも叶えると
バカ高い"
01:51	あすか 11/19 8/11	"だからとりあえず
モデルハウスでイメージ
持ちやすくしたい"
01:51	あすか 11/19 8/11	家の中ももちろんやけど
01:51	あすか 11/19 8/11	外壁とかはじめからいいのにした方がいいかなって思うし
01:52	あすか 11/19 8/11	"ソーラーパネルも要検討やけど
考える1こかなあ"
01:52	あすか 11/19 8/11	て思う
01:52	あすか 11/19 8/11	電気代
01:52	あすか 11/19 8/11	めっちゃ変わるねんて
01:52	あすか 11/19 8/11	あーりんち
01:53	あすか 11/19 8/11	"何万とかとんでるけど
同じ泉北ホームで
家建てて
ソーラーパネルつけた
こうじさんの同僚"
01:53	あすか 11/19 8/11	何千円っていってた
01:54	あすか 11/19 8/11	電気代
01:54	あすか 11/19 8/11	マイホームなって
01:54	あすか 11/19 8/11	家族増えたらえぐいで電気代
01:55	あすか 11/19 8/11	まぁそんなとことか
01:55	あすか 11/19 8/11	こだわるところとかお金かけるところ
01:55	あすか 11/19 8/11	考えなよなぁ
01:55	あすか 11/19 8/11	ひとまず建ててあとあとめっちゃ何かとお金いるやん！も嫌やしなw
01:56	あすか 11/19 8/11	アフターフォローいいとこがいいなーとかもあるな
01:57	あすか 11/19 8/11	マイホームむず
01:57	あすか 11/19 8/11	モデルハウスとかみたら
01:57	あすか 11/19 8/11	ワクワクするけど
01:57	あすか 11/19 8/11	現実戻ったらしんどw
01:58	あすか 11/19 8/11	ナギがご飯いっぱい残った炊飯器の電源切って
01:59	あすか 11/19 8/11	今日のお昼ご飯にしようと思ってたのにってめっちゃ私にあたられた
01:59	あすか 11/19 8/11	ばぁばに
01:59	あすか 11/19 8/11	うざってなった
02:01	あすか 11/19 8/11	"ゴミ集めてきてとか
言うなら誰かナギ見とけやし
ちょっと出ていくだけでも
鍵閉めてとかもいうけど
その日の都合でたまたま閉めれんかったりもするし"
02:02	あすか 11/19 8/11	"ほんま私が毎日ナギつれて
あれこれしてる大変さ
しらんやろ？ておもう"
02:02	あすか 11/19 8/11	今まで買い物も連れて行ってもらってたのが
02:02	あすか 11/19 8/11	今は自転車でなぎとふたりでいくか
02:02	あすか 11/19 8/11	アーリに頼むか
02:03	あすか 11/19 8/11	そうなった理由とか考えへんのかね？
02:03	あすか 11/19 8/11	ほんまあれもこれも頼み辛いねんばぁばに
02:03	あすか 11/19 8/11	何かと嫌な顔されるから
02:03	あすか 11/19 8/11	そればぁば気づいてんかなw
