/19 8/11	今思いつくのはこれくらい
16:36	ゆうげん	とりあえず整理する
16:43	ゆうげん	上の写真
16:43	ゆうげん	アルバム入れといて欲しい
16:44	あすか 11/19 8/11	[アルバム] (null)
17:21	ゆうげん	ありがとう
18:54	ゆうげん	また
18:55	ゆうげん	なぎの写真欲しいな
19:21	あすか 11/19 8/11	[写真]
19:21	あすか 11/19 8/11	[写真]
19:21	あすか 11/19 8/11	[写真]
19:22	あすか 11/19 8/11	[写真]
19:22	あすか 11/19 8/11	私の朝ごはん最近これなんやけどこれも店じゃなくてネットで買った方がいいんかな
19:26	ゆうげん	ネットで安いならその方がいいね
19:26	ゆうげん	可愛い
19:34	あすか 11/19 8/11	パッと見た感じ変わらんもしくはネットのが送料とかで高い
19:34	あすか 11/19 8/11	送料抜きでも高いとこもある
19:35	ゆうげん	元値いくらよ
19:55	あすか 11/19 8/11	[写真]
19:55	あすか 11/19 8/11	今月お買い得なってるけど
19:55	あすか 11/19 8/11	通常でも600~700くらいやったと思う
19:55	あすか 11/19 8/11	シスコーンもナギたまに買う
20:09	ゆうげん	"ふむ
スーパーの方が安いね
次にLOHACO"
20:09	ゆうげん	[写真]
20:10	ゆうげん	送料無料
20:22	あすか 11/19 8/11	LOHACOってのがあるのね
20:23	あすか 11/19 8/11	水がもう無くなるから早めにほしいな
20:23	あすか 11/19 8/11	水どこで買うのがいいやろ
20:35	ゆうげん	元値いくらなん?
21:19	あすか 11/19 8/11	1本やと68か78
21:19	あすか 11/19 8/11	税抜き
21:20	あすか 11/19 8/11	"箱買いはしたことないから
いくらか見てない"
21:20	あすか 11/19 8/11	"富山の2歳の男の子、
遺体で見つかったってね……"
21:26	ゆうげん	川か海かで見つかったんやね
21:26	ゆうげん	やるせないね
21:27	ゆうげん	なぎそんなことなったら狂うからちゃんと見とこ
21:45	ゆうげん	お水どれ２Lで?
22:09	あすか 11/19 8/11	おうちにおってもまじで目離されへんな
22:09	あすか 11/19 8/11	うん、大きいペットボトル

