 11/19 8/11	冬やからエアコンないと死にそう
16:25	あすか 11/19 8/11	一旦何台で見積もり出す？
16:25	あすか 11/19 8/11	何台いるかと、何階につけるか教えて欲しいらしい
16:25	ゆうげん	4
16:25	ゆうげん	"1F 3
2F 1"
16:26	あすか 11/19 8/11	それで言ってみる
16:29	ゆうげん	おねしゃす
16:29	ゆうげん	ちなみにどこのエアコン?
18:26	あすか 11/19 8/11	[写真]
18:26	あすか 11/19 8/11	"https://www.yamada-denkiweb.com/403853012/?q=洗濯機ドラム式

amazon
¥198000

https://www.yamada-denkiweb.com/3101913019/?q=H540R

amazon250000

https://www.yamada-denkiweb.com/101179018/?q=テレビ+50インチ

amazon78000

https://www.yamada-denkiweb.com/549722012/?q=エアコン+6畳

amazon40000"
18:26	あすか 11/19 8/11	前ゆーくんが言ってたやつ
18:27	ゆうげん	今合計なんぼやっけ
18:28	あすか 11/19 8/11	今はわからん、見積もり出してもらってる途中
18:28	ゆうげん	保証が安いんよね
18:28	ゆうげん	"それでも60マンくらいか

家具入れたら80-90か"
18:28	あすか 11/19 8/11	これはYesって答える？
18:28	ゆうげん	死にそう
18:29	ゆうげん	うん
18:29	あすか 11/19 8/11	ボーナス全消え
18:30	ゆうげん	今買い物中
18:30	あすか 11/19 8/11	☎ 不在着信
18:31	ゆうげん	帰ったらしよ
18:31	あすか 11/19 8/11	帰ったら教えて〜
18:32	ゆうげん	おけ
18:55	あすか 11/19 8/11	スーパーとか？
19:02	ゆうげん	楽器屋
19:03	ゆうげん	チューナーとかピックとか
19:03	ゆうげん	あと卵とか
19:24	あすか 11/19 8/11	そなのね
20:21	あすか 11/19 8/11	まだ買い物？
20:30	あすか 11/19 8/11	おーい
20:30	あすか 11/19 8/11	いつまで外おるのー？大丈夫？
20:41	あすか 11/19 8/11	☎ 不在着信
20:42	あすか 11/19 8/11	☎ 不在着信
20:42	あすか 11/19 8/11	☎ 不在着信
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	[スタンプ]
20:43	あすか 11/19 8/11	☎ 不在着信
20:44	あすか 11/19 8/11	☎ 不在着信
20:44	あすか 11/19 8/11	もーーーーー
20:44	あすか 11/19 8/11	変な心配かけんといてまじで
20:44	あすか 11/19 8/11	もーーーーーー
21:07	ゆうげん	なんか送れてなかった
21:07	ゆうげん	大丈夫よ
21:07	ゆうげん	心配せんでー
21:24	あすか 11/19 8/11	心配せんわけないやん
21:25	あすか 11/19 8/11	買い物終わったら…て言ってたんやから帰ったら連絡あるもんやと思うしさ
21:25	あすか 11/19 8/11	"そんな状況で連絡つかんとか
心配するに決まってるやろ"
21:25	あすか 11/19 8/11	私の心配性舐めんといてまじで
21:25	ゆうげん	回線重くて送れてなかってん
21:26	あすか 11/19 8/11	いつも平気に見えるやろうけど平気じゃないからな！！！！！！！！！！！！！！！！！！
21:26	あすか 11/19 8/11	[スタンプ]
21:28	ゆうげん	ごめんんっさい
21:28	ゆうげん	なさい
23:16	あすか 11/19 8/11	[スタンプ]
23:16	ゆうげん	お疲れ様

2022/11/06(日)
00:01	ゆうげん	寝ちゃった?
09:43	ゆうげん	おはようあすか
10:00	あすか 11/19 8/11	おはよ
10:19	ゆうげん	もう公園行ったりできるくらいには
10:19	ゆうげん	元気になった?
13:12	あすか 11/19 8/11	近場の公園は行った、今日久々に
13:12	あすか 11/19 8/11	[動画]
13:12	あすか 11/19 8/11	[動画]
13:48	ゆうげん	お
13:49	ゆうげん	いいね!
13:49	ゆうげん	きてみたのね
13:49	ゆうげん	かわいい
13:49	ゆうげん	大阪暖かい?
13:50	ゆうげん	次いつ帰ろうか
17:12	あすか 11/19 8/11	大阪全然さむないよ
17:13	ゆうげん	東京は
17:13	ゆうげん	昼間暑い
17:30	ゆうげん	そろそろ紅葉やし
17:30	ゆうげん	また帰りたいな
17:31	ゆうげん	大阪城公園行きたい
18:14	あすか 11/19 8/11	紅葉行きたいよね
18:15	あすか 11/19 8/11	大阪城公園いいな
18:15	あすか 11/19 8/11	[写真]
18:17	あすか 11/19 8/11	[写真]
18:17	あすか 11/19 8/11	[写真]
18:17	あすか 11/19 8/11	[写真]
18:17	あすか 11/19 8/11	[写真]
18:18	あすか 11/19 8/11	1人にしては頑張ったんじゃないでしょうか
18:29	ゆうげん	かわいいい
18:29	ゆうげん	ええやんええやん
18:29	ゆうげん	手を広げてるのいい
18:34	あすか 11/19 8/11	落ち葉もっとひらひらさせたかったけど無理やった
18:47	ゆうげん	一緒に行こ
18:47	ゆうげん	今月
19:05	あすか 11/19 8/11	なんか打ち合わせとかあるんやったらそれの日にちに合わせたいけどどーなんやろ
19:05	あすか 11/19 8/11	"インテリア見に行くのとか
外構とか"
19:40	ゆうげん	それ聞こか
