ゆうげん	なぎちゃんいるだけで幸せ度500%
09:56	ゆうげん	俺黒い薄手のタートルネックニット棚橋家に置いていったっけ
10:01	あすか 11/19 8/11	パパと梛がいて500%
10:01	あすか 11/19 8/11	あ、あったかも
10:10	あすか 11/19 8/11	あったら送った方がよさそ？？
10:10	ゆうげん	いや
10:10	ゆうげん	おいといてー
10:10	あすか 11/19 8/11	了解！
10:17	ゆうげん	ありがとう
10:23	あすか 11/19 8/11	全然
10:24	あすか 11/19 8/11	今準備中？
10:26	ゆうげん	お家でたよ
10:28	あすか 11/19 8/11	お家出たんね
10:28	あすか 11/19 8/11	お気をつけて
10:28	ゆうげん	もち
10:28	あすか 11/19 8/11	自撮り送って
10:28	あすか 11/19 8/11	🙊
10:28	あすか 11/19 8/11	[動画]
10:29	あすか 11/19 8/11	梛は今ジャングルジムで遊んで自分で「こっわ」て言ってる
10:33	ゆうげん	[写真]
10:33	ゆうげん	なぎちゃん怖
10:35	あすか 11/19 8/11	かっこい
10:35	あすか 11/19 8/11	"梛に見せたらちゃんと
「ぱぁ」て言ってた"
10:35	あすか 11/19 8/11	梛ほんまこわい
10:36	ゆうげん	ちゃんとなぎちゃんのパパで嬉しい
10:37	ゆうげん	怖いものなしすぎて
10:37	ゆうげん	こわ
10:43	あすか 11/19 8/11	ちゃんとパパだよ
10:44	あすか 11/19 8/11	"ほんとにね！
子どもは怖いもの知らずやけど梛は特別そう感じる"
10:44	あすか 11/19 8/11	気をつけてみてないと
10:46	ゆうげん	熱36.7だった
10:46	ゆうげん	車とか落下とか特にね
10:46	あすか 11/19 8/11	病院ついた？
10:46	あすか 11/19 8/11	平熱やったんね
10:46	ゆうげん	着いたよ
10:47	ゆうげん	熱は下がってるみたいやね
10:47	あすか 11/19 8/11	ね、気をつけるね
10:47	ゆうげん	一日で少しでも落ち着いてよかった
10:47	あすか 11/19 8/11	"うん、でも大事にね
無理せずね"
10:48	ゆうげん	おけけ
10:49	あすか 11/19 8/11	病院混んでそう
10:49	あすか 11/19 8/11	大丈夫？
10:49	ゆうげん	"いや
この前より全然空いてる"
10:49	ゆうげん	この前1.5時間待ちやったけど
10:49	ゆうげん	今回30分もかかんない
10:54	あすか 11/19 8/11	あ、そうなんだね
10:55	あすか 11/19 8/11	早く無事に終わって欲しいね
10:56	ゆうげん	早く抜きたいー
10:58	あすか 11/19 8/11	でも怖いね
10:58	あすか 11/19 8/11	がんばってね
11:01	あすか 11/19 8/11	"洗面所で着替えてたら
リビングから「ぱぁ！ぱぁ！」
てひたすらパパを呼ぶ声が
聞こえてきた"
11:01	ゆうげん	そんなん会いたなるやん
11:05	あすか 11/19 8/11	"登場したのママやったけど
笑ってくれたわ（笑）"
11:12	ゆうげん	それは良かった
11:13	あすか 11/19 8/11	"梛がパパのこと呼んでるの
かわいすぎる"
11:13	ゆうげん	ね かわい
11:13	あすか 11/19 8/11	"昨日寝室におらんかった時
「おらん」て理解してたのも
寂しかったけどかわいかった"
11:14	ゆうげん	早く3人で暮らしてなぎにも寂しい思いさせないようにしないとね
11:15	あすか 11/19 8/11	ね
11:16	あすか 11/19 8/11	私もパパがいる方が笑ってると思うし穏やかやと思うし
11:16	あすか 11/19 8/11	梛にとってもいいよね
11:26	ゆうげん	抜糸してきた
11:26	ゆうげん	普通に痛かったんやけど
