うげん	やめとくか
12:23	あすか 11/19 8/11	やめてた方がいいし27日もめちゃめちゃ慎重になった方がいい
12:24	ゆうげん	うむ..
12:24	あすか 11/19 8/11	ほんで会社いてんと病院行くなり家で様子見るなりした方がいい
12:28	ゆうげん	うむ
12:30	あすか 11/19 8/11	なんかの疲れとかでの関節痛やとしてもそのままやと免疫力も下がっててもらったりするで
12:31	あすか 11/19 8/11	極力一人で居るってのは大事
12:31	ゆうげん	わかった
12:31	ゆうげん	とりあえず土日は安静にする
12:31	あすか 11/19 8/11	土日だけじゃなくて今日明日も極力1人になって
12:32	あすか 11/19 8/11	それが無理ならマスク外さんといて
12:32	あすか 11/19 8/11	ナギもパパは？て楽しみにしてるしいつも
12:33	ゆうげん	わかった
12:33	ゆうげん	頑張って体調戻す
12:33	あすか 11/19 8/11	コロナとかインフルとかなってて来週もアウトはナギも可哀想
12:35	あすか 11/19 8/11	体調戻ってもウイルスは持ってるかもやからちゃんと検査するなりしよ
12:36	あすか 11/19 8/11	"コロナもインフルも熱とか関節痛は1~2日で治まったりするから、健康な成人とかは
それで大丈夫やわって外出る人多いねん検査せんと"
12:37	あすか 11/19 8/11	熱中症とかも関節痛あったりするしちゃんとサボらず塩分水分、極力健康的な食事、お互い頑張ろ
13:04	ゆうげん	頑張る
13:04	ゆうげん	うむ
13:07	ゆうげん	とにかくテレワークにするって言った
13:07	ゆうげん	帰ってる
13:27	あすか 11/19 8/11	来週体調良くてもせめて抗原検査だけでもして
13:27	あすか 11/19 8/11	ちゃんと観察管理して会お
13:51	ゆうげん	うむ
17:26	あすか 11/19 8/11	明日もテレワーク？
17:26	ゆうげん	せやね
17:27	あすか 11/19 8/11	ちゃんと家で過ごすように！
17:44	ゆうげん	安静にするわ
17:56	あすか 11/19 8/11	嘘つかずちゃんと報告してな、来週のこともあるしちゃんと安心して会いたいし
17:56	ゆうげん	もちろん
17:57	ゆうげん	ナギにも迷惑かけられへん
18:15	あすか 11/19 8/11	[写真]
18:15	あすか 11/19 8/11	[写真]
18:15	ゆうげん	やす
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	あすか 11/19 8/11	[写真]
18:16	ゆうげん	微妙
18:17	ゆうげん	シャツくらいかなぁ
18:17	あすか 11/19 8/11	シャツとパーカーかわいい
18:17	あすか 11/19 8/11	あ、パンツも可愛い
18:17	ゆうげん	フルジップパーカーがそもそも好きでない
18:18	あすか 11/19 8/11	でも使い勝手めっちゃいいよね、羽織持っときたいときとかこういうのめっちゃ着せる私は
18:19	ゆうげん	前もパーカーよく着せてたよね
18:19	ゆうげん	ただなぁ
18:19	ゆうげん	あんまり好きじゃない
18:20	あすか 11/19 8/11	私は好き
18:21	ゆうげん	値段は?
18:21	あすか 11/19 8/11	公表されてない
18:29	あすか 11/19 8/11	[動画]
18:30	あすか 11/19 8/11	絶対うそやん
18:37	ゆうげん	わかった(わかってない)
19:18	あすか 11/19 8/11	[写真]
19:18	あすか 11/19 8/11	[写真]
19:20	ゆうげん	ちゃんと食べてる?
19:21	あすか 11/19 8/11	アンパンマンポテト完食して今はひたすら卵焼き食べてる
19:35	ゆうげん	良かった良かった
19:35	ゆうげん	いっぱい食べて欲しい
19:35	ゆうげん	大きくなって欲しい
