ゆうげん	間違えた
22:47	ゆうげん	今残ってるか探してる
22:47	ゆうげん	あ
22:47	ゆうげん	あるかも
22:47	あすか 11/19 8/11	[写真]
22:49	ゆうげん	ありがとう
22:49	ゆうげん	あ
22:49	ゆうげん	予約残ってた
22:49	ゆうげん	帰れる
22:50	ゆうげん	危ねーーー
22:50	あすか 11/19 8/11	w
22:50	ゆうげん	[写真]
22:51	ゆうげん	[写真]
22:51	ゆうげん	この写真だけを頼りにしてて気づかなかった
22:52	ゆうげん	[写真]
22:52	ゆうげん	ギリギリ取れた
22:55	ゆうげん	キミセ醤油アホほど重いから
22:55	ゆうげん	持って帰らずに済んで助かった

2024/03/02(土)
11:18	あすか 11/19 8/11	"○野菜ジュース(パックの紫)
○パパが飲むもの
○コーラ
○ジンジャエール
○ぶどうジュース
(パックでもペットボトルでも)"
11:37	ゆうげん	ケーキまって
11:40	あすか 11/19 8/11	？？
11:40	ゆうげん	ピザまだ焼きあがってない
11:40	ゆうげん	もう受け取る
11:40	ゆうげん	飲み物はかった
11:43	ゆうげん	[動画]
11:43	ゆうげん	至急選んで
11:44	ゆうげん	[動画]
11:44	あすか 11/19 8/11	うさぎのやつ何入ってる？
11:45	ゆうげん	フィナンシェ クッキー ボンボンショコラ
11:45	あすか 11/19 8/11	それにしよかな
11:45	ゆうげん	おけ
11:45	あすか 11/19 8/11	それが一番かわいらしいよな
16:58	ゆうげん	[写真]

2024/03/04(月)
19:12	ゆうげん	今日どうやった?
19:12	ゆうげん	あと固定資産税の支払いのために
19:12	ゆうげん	35000入れてて欲しい
19:12	ゆうげん	今月の給料で返す
19:57	あすか 11/19 8/11	今日？
19:57	ゆうげん	明日以降でいいよ
19:58	ゆうげん	まだ大丈夫
19:58	あすか 11/19 8/11	[写真]
19:58	あすか 11/19 8/11	あ、ちがう
19:58	あすか 11/19 8/11	今日どやった？て何のことかなって
19:58	ゆうげん	友達いっぱいきたやろ?
19:59	あすか 11/19 8/11	そのことね
19:59	あすか 11/19 8/11	カオスやったけどだいぶ子ども同士の関わりは成長してる
20:02	ゆうげん	ナギもいい感じ?
20:02	ゆうげん	よかったよかった
20:03	ゆうげん	俺は別にナギの落ち着きなさげなとことか言語能力とか割と今はどうでも良くて(どうせ使えるようになる)、どっちかと言うと好奇心能力の方が大事
23:10	あすか 11/19 8/11	てかナギ美容室行くなら予約しないとやねんけどどーしよ
23:10	ゆうげん	(^^)
23:11	ゆうげん	あすかと同じところにしたらいいやん
23:15	あすか 11/19 8/11	私と行って急にお願いできるような関係性でもないし別にナギを隣駅まで連れてかんでも
23:15	ゆうげん	近場何処や
