 11/19 8/11	イクタは無垢っぽい？質感なのかな
17:28	あすか 11/19 8/11	なんか他も仕様かえようかなぁ
17:28	あすか 11/19 8/11	扉の取っ手の色とか
17:29	ゆうげん	とびら
17:29	ゆうげん	二階建ての子ども部屋1階やから
17:29	ゆうげん	余計全部白がいい
17:29	あすか 11/19 8/11	"キッチンとカップボードも
取っ手黒にしてるけどゴールド系の方が良さげかなぁ"
17:29	あすか 11/19 8/11	白は白でいいんやけど取っ手の色
17:30	あすか 11/19 8/11	とっても白？
17:30	ゆうげん	かな
17:30	あすか 11/19 8/11	んー、、
17:30	ゆうげん	2階のキッチン周りは全然変えていいけど
17:30	ゆうげん	1階は統一したい
17:31	あすか 11/19 8/11	扉の色は白で取っ手ゴールド系がいいなぁて思ったんやけど白がいいか、、、
17:32	ゆうげん	どんなんなるん
17:32	ゆうげん	1階はなぁ
17:32	あすか 11/19 8/11	2階建てになったし間取りも変わったし前もなんか選んだやつ曖昧やったからもう1回ショールーム行った方がいいんかなぁ
17:32	あすか 11/19 8/11	逆に白に白ってどんなん？
17:33	ゆうげん	というか壁と同じ扱いにしたいから
17:33	ゆうげん	他の色にする理由がない
17:33	ゆうげん	キッチン周りはショールーム行ってもいいかもね
17:33	ゆうげん	そして別にガスじゃなくてもいいと思ってる
17:33	あすか 11/19 8/11	私は扉は扉…にしたかったんやけどなぁ
17:33	ゆうげん	ガスは掃除大変だし
17:34	あすか 11/19 8/11	ガスがいいなぁそこは
17:34	あすか 11/19 8/11	ガスもIHも使ったことあるけどガスの方が好みやなぁ
17:34	ゆうげん	別にコンロあったらいざと言う時別の対応できるし
17:34	あすか 11/19 8/11	ガスの方が好み
17:35	ゆうげん	料理でそっちがいいならそれでいいけど
17:35	ゆうげん	キッチン周りだけでいいなら
17:35	ゆうげん	あすか1人でいいと思う
17:36	ゆうげん	ショールーム
17:36	ゆうげん	あとは白にゴールドはあんま会わんと思う
17:36	ゆうげん	ゴールドはやっぱり暗色にあう
17:37	あすか 11/19 8/11	[写真]
17:37	あすか 11/19 8/11	私は好きなんやけどなぁ
17:38	ゆうげん	"なんか家のイメージ変わるやん
メルヘン"
17:38	あすか 11/19 8/11	んー
17:38	あすか 11/19 8/11	メルヘンではない
17:38	あすか 11/19 8/11	ナチュラル
17:39	ゆうげん	俺はちょっと違うと思う
17:39	ゆうげん	インテリアでゴールド入れるならいいけど
17:39	ゆうげん	取手は変えられんから
17:40	あすか 11/19 8/11	"ガスの方が使う感じは好みやけどわからんなぁ難しい

IHにする人は大概オール電化にすると思うけどそうした方が光熱費はマシなんかなー。
掃除もガスより好みやろうしー。

わかんね"
17:40	あすか 11/19 8/11	取っ手ゴールドがよかったけどまぁいいや
17:41	あすか 11/19 8/11	"考えれば考えるほどわからんし
大概ゆーくんと意見わかれるから難しいな、決めるの"
17:41	ゆうげん	"2階トイレはグレーで
それ以外全部白でいいと思ってる"
17:41	ゆうげん	扉
17:42	あすか 11/19 8/11	2階のトイレの扉ぐれーにすんの？
17:42	あすか 11/19 8/11	そここそ白かと思ってた
17:42	ゆうげん	モールテックスカウンターに繋がると思ったから
17:43	あすか 11/19 8/11	繋がらんでしょ、ニッチの部分挟むし
17:43	ゆうげん	ニッチもグレーでしょ?
17:43	ゆうげん	前回の仕様そのまま引き継ぐなら
17:45	あすか 11/19 8/11	そうなの？そこ全部グレーってなんか暗いイメージなりそ
17:48	ゆうげん	キッチン奥白ならバランス取れてると思う
