	あすか 11/19 8/11	今日は夜起きれるようにします
08:16	ゆうげん	[スタンプ]
08:17	ゆうげん	あつぃい
08:17	あすか 11/19 8/11	暑すぎるよね
08:17	ゆうげん	ハンディファン大活躍
08:17	ゆうげん	2個買った
08:17	あすか 11/19 8/11	夜中1時前後、直当たりにしてたサーキュレーターが嫌やったのか部屋の暑さが嫌やったのか
08:18	あすか 11/19 8/11	梛が30〜1時間寝てはグズグズ寝てはグズグズを繰り返してた
08:18	ゆうげん	うーむ
08:18	あすか 11/19 8/11	結局2時間だけエアコンつけたらサーキュレーターの風が当たらない私の足元に行って寝てた
08:18	ゆうげん	壁あて反射がいいのかも
08:19	ゆうげん	サーキュレーターじゃあかんか
08:19	あすか 11/19 8/11	サーキュレーター直あてしやいとほんまアツすぎる
08:19	あすか 11/19 8/11	サーキュレーターで部屋を涼しくは無理やから直あてせな暑い
08:20	あすか 11/19 8/11	"リビングも棚橋が晩ご飯食べる時間くらいから数時間はエアコンついてるっぽいから
夜寝る時の2時間くらいいいかーてなって"
08:20	あすか 11/19 8/11	エアコンとサーキュレーターで部屋冷やして寝た
08:21	あすか 11/19 8/11	朝は暑かったけどとりあえずなぎ寝たからよし
08:33	ゆうげん	うーん
08:33	ゆうげん	体調心配
08:34	ゆうげん	一緒に暮らしたらエアコンいつでもつけていいよ
08:34	あすか 11/19 8/11	"夏冬のエアコン必須期間は
ほんま電気代あがるから"
08:34	あすか 11/19 8/11	過剰に使わないようにはしないとね
08:35	ゆうげん	涼しい家づくりにしないとね
08:41	あすか 11/19 8/11	過剰に使わんようにはせなあかんけど変に我慢もしたくないよね
08:47	あすか 11/19 8/11	来年の夏はさ
08:48	あすか 11/19 8/11	[写真]
08:48	あすか 11/19 8/11	[写真]
08:48	あすか 11/19 8/11	こんな感じの、折りたたみのプール欲しいね
08:48	あすか 11/19 8/11	空気入れないやつ
08:57	ゆうげん	なんやこれ
08:57	ゆうげん	水も使えるの?
08:58	あすか 11/19 8/11	使えると思うけど
08:58	あすか 11/19 8/11	わからん
08:58	ゆうげん	ふむ
08:58	あすか 11/19 8/11	使えると思うけどね
08:58	あすか 11/19 8/11	[写真]
08:58	あすか 11/19 8/11	暑くてオムツ一丁で熱唱
08:59	ゆうげん	たくましい
09:30	あすか 11/19 8/11	この格好しても髪濡れてる
09:44	あすか 11/19 8/11	"着替えさせるぞってなってから
10分経つのにナギすっぽんぽん
やねんけどどういうこと？
寄ってきてもオムツ履かせようとしたら笑って逃げていく"
09:44	あすか 11/19 8/11	着替えさせるだけで疲れる
09:44	あすか 11/19 8/11	ﾊｧ━(-д-；)━ｧ
09:48	ゆうげん	まあ
09:48	ゆうげん	元気なのはいい事
09:49	あすか 11/19 8/11	元気なのと服着ないのは別の話
09:49	あすか 11/19 8/11	"👩🏼「キウイ買いに行こっか」
🧒🏼「うん！」
👩🏼「じゃあ服着てお買い物行こ」
🧒🏼「ママ ァウイ アヤン」
        (ママ キウイ いらん)"
09:49	あすか 11/19 8/11	この会話ダルすぎw
09:49	あすか 11/19 8/11	本間はよ服着ろ
09:49	あすか 11/19 8/11	せめてオムツ履けーー
09:50	あすか 11/19 8/11	"床におしっこもするし
いつになったら買い物いけるんや"
09:50	ゆうげん	ナギすぐ要らん言うよね
09:50	ゆうげん	都合悪なったら
09:50	ゆうげん	床しっこしてもうたんか
09:51	あすか 11/19 8/11	うん、すぐいらんって言う
09:51	あすか 11/19 8/11	イヤイヤ期
09:52	あすか 11/19 8/11	ナギおしっこの出し方しってるはずなからわざと出したんちゃうか
09:52	あすか 11/19 8/11	少なかったから
10:52	ゆうげん	なんてこった
12:42	ゆうげん	あすかあすかあすかあすか
12:42	ゆうげん	会いたい会いたい会いたい
12:43	ゆうげん	[スタンプ]
12:59	あすか 11/19 8/11	なんや急に
12:59	あすか 11/19 8/11	"ひなが朝から熱出してて
コロナは陰性やったけど
何かわからんからまた
あーりんち行けんなったーー"
12:59	あすか 11/19 8/11	昼から何しよ
12:59	あすか 11/19 8/11	水遊びしたいなぁ
13:00	あすか 11/19 8/11	暑すぎる
13:00	あすか 11/19 8/11	[写真]
13:00	あすか 11/19 8/11	[写真]
13:00	あすか 11/19 8/11	めっちゃ丁度すぎる大きさになったけど一応できあがった
13:49	ゆうげん	いい感じ
13:49	ゆうげん	乳首帽子
13:50	ゆうげん	折りたたみプール買おか?
13:50	あすか 11/19 8/11	やめろ
13:50	あすか 11/19 8/11	昨年買った小さいビニールプールはあるんよ
13:51	ゆうげん	ならそれ使お
13:51	あすか 11/19 8/11	実家は屋根？とか平らな場所がなぁ、ない
13:51	ゆうげん	家の前は?
13:52	あすか 11/19 8/11	"なんか変に溝？あるやん？
駐車場とかは"
13:53	あすか 11/19 8/11	敷地外はヤラシイからできんしなぁ
13:53	あすか 11/19 8/11	"屋根もあって平らなとこって
ベランダとかやな(笑)"
13:53	あすか 11/19 8/11	"2階に水運ぶの大変やし
後片付けも大変やからせんけど"
13:54	あすか 11/19 8/11	あとは私と梛二人でするのは無理すぎw
13:55	あすか 11/19 8/11	準備から遊ぶのから着替えから後片付けまで1人は無理すぎw
13:55	ゆうげん	確かに
13:55	ゆうげん	やっぱ屋上いるな
13:56	あすか 11/19 8/11	屋上って水(ホース？🚿)上げれるん？
13:57	あすか 11/19 8/11	1人でするのはお風呂が限界やな〜、でもお風呂なぎ割とすぐ飽きる
14:06	ゆうげん	うーん
14:06	ゆうげん	2階のキッチンかトイレにホース繋いで
14:07	ゆうげん	あげなきゃ行けないかな
14:07	ゆうげん	屋上
14:11	あすか 11/19 8/11	聞いてみよまた、松本さんとかに
14:43	ゆうげん	それと
14:43	ゆうげん	飾り棚埋め込み
14:44	ゆうげん	これ今日中に聞いておいて欲しい
14:48	ゆうげん	なんか今日メルカリめっちゃ売れた
15:55	あすか 11/19 8/11	おけ、いける時あったらLINEしとく
15:56	あすか 11/19 8/11	そなの！
16:00	ゆうげん	5個売れた
16:00	ゆうげん	これだけで35000
18:01	ゆうげん	ナギの誕生日に備えます
18:01	ゆうげん	今日は誕生日の飾り付け
18:01	ゆうげん	かんがえよう
18:19	ゆうげん	[写真]
18:19	ゆうげん	税金頭おかしいんだが
18:20	ゆうげん	相変わらず
18:34	ゆうげん	手取り36なら
18:34	ゆうげん	だいぶ楽なんやけどなぁ
19:22	あすか 11/19 8/11	飾り付け考えなきゃやね
19:22	あすか 11/19 8/11	税金ほんま嫌なるよなぁ
19:22	あすか 11/19 8/11	てかもうお給料？？
19:22	ゆうげん	明日やな
19:22	ゆうげん	ボーナスも
19:29	あすか 11/19 8/11	そうなんやね
19:29	あすか 11/19 8/11	25日土曜日か
19:30	ゆうげん	やから前日に入る
19:34	あすか 11/19 8/11	ボーナスも税金みたらオエってなりそ笑
19:34	あすか 11/19 8/11	[写真]
19:34	あすか 11/19 8/11	[写真]
19:34	ゆうげん	ボーナスはほぼそのまま入る
19:34	あすか 11/19 8/11	このニュース怖
19:37	あすか 11/19 8/11	そうなのか
19:41	ゆうげん	ひええ
19:41	ゆうげん	あつい
19:42	あすか 11/19 8/11	暑いとか言うレベルちゃうよな
19:42	あすか 11/19 8/11	こわ
19:57	ゆうげん	死んでまうよな
20:11	ゆうげん	2人に会いたい
