ゆうげん	関電なんやと
21:28	ゆうげん	と
21:28	ゆうげん	と
21:28	ゆうげん	ろ
21:30	あすか 11/19 8/11	[写真]
21:31	あすか 11/19 8/11	契約内容をお知らせしますやと
21:35	ゆうげん	おけ
21:35	ゆうげん	この紙大事に取っといて
21:43	あすか 11/19 8/11	おけ
21:48	ゆうげん	今の今まで
21:48	ゆうげん	マクドで仕事してた
21:48	ゆうげん	帰ります
21:48	ゆうげん	23:00くらいまでやろ
21:49	ゆうげん	終わったら酒飲んで死ぬ
21:49	あすか 11/19 8/11	無理したあかんよー
21:49	あすか 11/19 8/11	そして色々気をつけてね
21:51	ゆうげん	ありがとう
21:51	ゆうげん	あすかもゆっくりしてな
22:34	ゆうげん	まだ起きてたらやけど
22:34	ゆうげん	俺が先週帰った時に持って帰った
22:34	ゆうげん	資料に
22:34	ゆうげん	たぶんNURO
22:34	ゆうげん	はいってる
22:35	ゆうげん	見て
22:36	ゆうげん	ごめん
22:36	ゆうげん	あったわ

2023/01/18(水)
06:53	あすか 11/19 8/11	ごめん寝てた
10:45	ゆうげん	全然ええで
10:45	ゆうげん	ゆっくりできた?
10:53	あすか 11/19 8/11	昨夜は朝まで寝てた〜梛も
10:53	あすか 11/19 8/11	でもまさかのｲﾝﾌﾙでした🧒🏼
10:56	ゆうげん	"ナギすごいな
コロナにインフルに"
10:56	ゆうげん	俺どうしよ
10:56	ゆうげん	明日の夜帰る予定なんやけど
10:57	ゆうげん	体調どう?
10:57	ゆうげん	あすかもなぎも
10:59	あすか 11/19 8/11	"普段風邪とかひかんのに
しっかり感染症もらうな🫠"
11:02	あすか 11/19 8/11	"そこはもうパパに任せる！
帰ってきてもマスクして常々消毒や手洗いうがいしてホビールーム籠るとかになるしやめとってもいいかもやけど！"
11:02	あすか 11/19 8/11	私は今のところ通常
11:16	ゆうげん	もうバスとってもうてるけどな
11:16	ゆうげん	"まあ
帰るわ"
11:16	ゆうげん	2人に会いたいし
11:16	ゆうげん	心配やし
11:20	あすか 11/19 8/11	私もまだ発症してないだけかこのままいくかはわからんけど菌は持ってるやろうけど、、
11:20	あすか 11/19 8/11	そんな状況でもいいならいいけど、ﾊﾟﾊﾟ予防接種も打ってないし感染したらしんどいよ〜
11:21	ゆうげん	土曜日はキャンセル?
11:23	あすか 11/19 8/11	土曜日？
11:23	あすか 11/19 8/11	日曜日のゆーか？
11:25	ゆうげん	日曜やっけ
11:25	ゆうげん	そそ
11:25	あすか 11/19 8/11	そやなー、念の為やめとってもらった方が良さげやね
12:02	ゆうげん	とりあえずナギとあすかの体調優先
12:24	あすか 11/19 8/11	体調は今はナギが鼻水と咳してる感じやけど
12:24	あすか 11/19 8/11	ゆーかに移すと申し訳ないからなぁ
12:25	あすか 11/19 8/11	なしになると思う
12:25	あすか 11/19 8/11	ﾊﾟﾊﾟも帰ってきたら全く接触せんわけにはいかんやろしよく考えてね〜
12:36	ゆうげん	アスカとは濃厚接触やからな
13:02	あすか 11/19 8/11	？？
13:04	ゆうげん	ほら
13:04	ゆうげん	子作り
13:33	あすか 11/19 8/11	そやなぁ、、
14:29	あすか 11/19 8/11	それも悩みどころやな、今月は諦めるかどーするか、、、
14:30	あすか 11/19 8/11	免疫力あげるためにR1か漢方飲んで過ごすかw
14:40	ゆうげん	諦めんといこ
14:40	ゆうげん	漢方あったっけ
14:50	あすか 11/19 8/11	ｲﾝﾌﾙもってるやろしなぁ
14:50	あすか 11/19 8/11	ないよ
15:19	ゆうげん	持ってくわ
15:19	あすか 11/19 8/11	免疫力高める漢方あるの？
16:37	ゆうげん	会社から貰ってるのいくつかあった気がする
17:47	あすか 11/19 8/11	そうなのか
17:48	あすか 11/19 8/11	会社からそんなのもらってるのね
17:50	あすか 11/19 8/11	スタバの新作美味しそう……
18:13	ゆうげん	どんなん??
18:17	あすか 11/19 8/11	https://www.starbucks.co.jp/cafe/fondant/?nid=wh_00_sp
18:19	ゆうげん	ええやん
18:19	ゆうげん	王道に美味しそう
20:07	あすか 11/19 8/11	おいしそうよなぁぁ
20:22	ゆうげん	でも
20:22	ゆうげん	中々飲めないよね
21:43	あすか 11/19 8/11	そうやなぁ、、
21:43	あすか 11/19 8/11	鼻じゅるじゅるゆってきた、やべ
21:43	あすか 11/19 8/11	免疫力免疫力……✊🏼
21:52	ゆうげん	おぉ
21:52	ゆうげん	きたか
21:53	ゆうげん	早く寝よ
21:54	あすか 11/19 8/11	ナギもまだ起きてる、歯磨き拒否中
21:54	あすか 11/19 8/11	がんばろ、、
21:54	ゆうげん	暖かい飲み物飲んどき
21:54	ゆうげん	特にはちみつ
22:02	あすか 11/19 8/11	"今日母に買い物頼んだら、
頼んでなかったけど
ゆず茶入ってた"
22:02	ゆうげん	いいね
22:02	ゆうげん	美味しそう
22:02	ゆうげん	俺もビタミン剤もりもり

2023/01/19(木)
07:04	あすか 11/19 8/11	残念ながらOUTだね
07:04	あすか 11/19 8/11	37.8
07:11	あすか 11/19 8/11	"悪寒と関節痛筋肉痛が辛い〜
そこに元気なナギがおるのがやべぇ"
07:11	ゆうげん	ふむ
07:11	ゆうげん	なぎげんきなんか
07:12	ゆうげん	まあ帰る
07:13	あすか 11/19 8/11	今日が一番しんどいやろけど今日ナギと2人乗り越えられるかな、、ナギに薬も飲ませなあかんけどそのために動くのもしんどいね
07:28	ゆうげん	マジ無理せずね
07:46	あすか 11/19 8/11	無理しなあかん状況よね
07:47	ゆうげん	むぅ
07:47	あすか 11/19 8/11	梛もなーんも言わんと大人しくYouTubeみてるわけじゃないしご飯も用意せなあかんし、、つらすぎ
08:11	ゆうげん	お昼も寝ときな
12:21	ゆうげん	大丈夫?
17:00	あすか 11/19 8/11	寝るに寝れんけど座ってるのもしんどくでずっと横になってて、お昼ちょっとだけ食べてとりあえずアーリに貰った薬飲んでちょっとは楽なった
17:08	あすか 11/19 8/11	ずっと動けんで寝込んでたんやけど、梛が元気やからリビング悲惨、散らかっとる
19:19	あすか 11/19 8/11	予定通り帰ってくる？
19:35	ゆうげん	お疲れ様
19:35	ゆうげん	かえるよ
19:35	ゆうげん	全然いいで
19:35	ゆうげん	無理せず
19:35	ゆうげん	水気のものだけ気をつけて
19:49	あすか 11/19 8/11	お疲れ様です
19:49	あすか 11/19 8/11	ｲﾝﾌﾙで間違いないやろうけど、薬もちゃんともらいたいし病院連れてきてもらってる今
19:50	ゆうげん	なう?
19:50	あすか 11/19 8/11	どこがどれだけ散らかってるかもなんかよー分からん、とりあえずパッと見悲惨やった、、
19:50	あすか 11/19 8/11	うん、今来てる
19:50	あすか 11/19 8/11	あーりインフルやったから梛家で見てくれてる
19:50	ゆうげん	入れやるから大丈夫
19:51	あすか 11/19 8/11	あーりもお昼来てくれた時１回掃除機はかけてくれてゴミもまとめてくれてたけど、、
20:03	ゆうげん	ふむ
20:15	あすか 11/19 8/11	予想通りｲﾝﾌﾙやった
20:42	あすか 11/19 8/11	薬効いてたんか、病院着いた時37.0度やったけど、帰ってきたらまた38.6で身体もしんどなってきた、、片付けできてないままやけどお許しください、、
21:12	ゆうげん	全然大丈夫よ
21:12	ゆうげん	帰るまで頑張って
21:12	ゆうげん	帰ったら頼ってね
22:18	ゆうげん	海老名SA
22:18	ゆうげん	また家族でいっしょに行きたいな

2023/01/20(金)
07:23	ゆうげん	難波着いたよ
07:48	あすか 11/19 8/11	ありがとう、、
07:48	あすか 11/19 8/11	気をつけてー
07:48	ゆうげん	今羽衣
07:49	ゆうげん	腹減った
07:57	あすか 11/19 8/11	"そういえば、18日ナギの病院行くためにモールテックス日にち変更しててさ、最終の詐欺今日になってるねんー、、
洗面の作業やし私ら会わんかったら大丈夫やと思うから、ゆーくん初めと終わりと対応してもらっていい？

ｲﾝﾌﾙなことは黙っててね "
08:02	ゆうげん	さぎ?
08:05	あすか 11/19 8/11	最終の作業
22:56	あすか 11/19 8/11	ナギの部屋の前あたりに開け切ってないけど布団出してる

2023/01/21(土)
10:31	あすか 11/19 8/11	[写真]
10:31	あすか 11/19 8/11	[写真]
10:31	あすか 11/19 8/11	[写真]
10:31	あすか 11/19 8/11	[写真]
18:44	あすか 11/19 8/11	☎ 通話をキャンセルしました
18:45	ゆうげん	どしたー
18:45	あすか 11/19 8/11	まだスーパーおる？
18:45	ゆうげん	帰ってる
18:45	あすか 11/19 8/11	あー、おけ
18:45	ゆうげん	なんか必要やった?
18:45	あすか 11/19 8/11	ナギのジュースなくなった、、そして春雨かマロニーかあるといいなと思ったけど、、もう帰り道ならいいよー！
18:46	ゆうげん	あー
18:46	ゆうげん	明日買う
18:46	あすか 11/19 8/11	明日ﾊﾟﾊﾟ無事がわかんないけど
18:46	ゆうげん	行ける行ける
18:46	あすか 11/19 8/11	気をつけて帰ってきてね！

2023/01/22(日)
20:41	ゆうげん	バス乗ったよ
20:41	ゆうげん	また金曜朝に帰るね
20:43	ゆうげん	なんかなぎのために
20:43	ゆうげん	もっと屋内で遊べるなにか無いかな
20:44	ゆうげん	ジャングルジムしかり
20:47	ゆうげん	あと
20:47	ゆうげん	次帰る時
20:48	ゆうげん	トイザらス行きたい
20:53	あすか 11/19 8/11	体調お気をつけて
20:53	あすか 11/19 8/11	あんまり大きい遊具を家の中に置くのは嫌なのよね
20:53	あすか 11/19 8/11	出したり閉まったりしたい出すにしても
20:53	ゆうげん	ストライダー買いたい
20:53	ゆうげん	ふむ
20:54	ゆうげん	でもめっちゃジャングルジムハマってたから
20:54	あすか 11/19 8/11	ｼﾞｬﾝｸﾞﾙｼﾞﾑ好きなのは知ってるんやけど
20:54	ゆうげん	どれに類似する1人で遊べるの欲しい
