1	ハイツみたいなんで
01:40	あすか 11/19 8/11	駐車場やから
01:40	あすか 11/19 8/11	両側家まどなり
01:40	あすか 11/19 8/11	ていう窮屈感はなさそ
01:41	あすか 11/19 8/11	このハイツの反対側も
01:41	あすか 11/19 8/11	隣の家の駐車場
01:41	あすか 11/19 8/11	まぁでもここがどんな値段かとか
01:42	あすか 11/19 8/11	そこよな
01:42	あすか 11/19 8/11	土地だけで買ったら高いがな
01:42	あすか 11/19 8/11	早くマイホーム見通し持ちたいけど
01:42	あすか 11/19 8/11	むずすぎ
01:43	あすか 11/19 8/11	ここの土地は堺の方の不動産が
01:44	あすか 11/19 8/11	出してる
01:44	あすか 11/19 8/11	大きい道路とか
01:45	あすか 11/19 8/11	"そばにあったり
家の前で遊び辛いとこは"
01:45	あすか 11/19 8/11	嫌よなぁ
01:45	あすか 11/19 8/11	他に売り出してるとこは
01:46	あすか 11/19 8/11	道路沿いとか
01:46	あすか 11/19 8/11	なんて？
01:46	あすか 11/19 8/11	ナギに顔潰されて
01:46	あすか 11/19 8/11	片耳きこえへん
01:46	あすか 11/19 8/11	わら
01:46	あすか 11/19 8/11	なんて言った？笑
01:47	あすか 11/19 8/11	あぁ
01:47	あすか 11/19 8/11	なるほどw
01:47	あすか 11/19 8/11	まぁ
01:47	あすか 11/19 8/11	車とかは
01:47	あすか 11/19 8/11	出入りしやすい
01:47	あすか 11/19 8/11	中道よりは
01:48	あすか 11/19 8/11	"縦長の土地と古家は中道
て言ってもそんなに狭くはないけど"
01:48	あすか 11/19 8/11	"あとなんやろ、
うちのとこみたいに
家並んでるとこってさ"
01:48	あすか 11/19 8/11	外でBBQとかも出来ひん
01:49	あすか 11/19 8/11	隣の家とちょっと距離あったら
01:49	あすか 11/19 8/11	屋上作らんでもできる
01:49	あすか 11/19 8/11	下で
01:49	あすか 11/19 8/11	"屋上は欲しいけど、
それもだいぶ値段変わってくると思うから"
01:49	あすか 11/19 8/11	それなら家こだわる？てなる
01:50	あすか 11/19 8/11	いや、高いのはわかりきったことw
01:50	あすか 11/19 8/11	どこ重視してどこ妥協していくか
01:50	あすか 11/19 8/11	考えないと
01:50	あすか 11/19 8/11	"あれもこれも叶えると
バカ高い"
01:51	あすか 11/19 8/11	"だからとりあえず
モデルハウスでイメージ
持ちやすくしたい"
01:51	あすか 11/19 8/11	家の中ももちろんやけど
01:51	あすか 11/19 8/11	外壁とかはじめからいいのにした方がいいかなって思うし
01:52	あすか 11/19 8/11	"ソーラーパネルも要検討やけど
考える1こかなあ"
01:52	あすか 11/19 8/11	て思う
01:52	あすか 11/19 8/11	電気代
01:52	あすか 11/19 8/11	めっちゃ変わるねんて
01:52	あすか 11/19 8/11	あーりんち
01:53	あすか 11/19 8/11	"何万とかとんでるけど
同じ泉北ホームで
家建てて
ソーラーパネルつけた
こうじさんの同僚"
01:53	あすか 11/19 8/11	何千円っていってた
01:54	あすか 11/19 8/11	電気代
01:54	あすか 11/19 8/11	マイホームなって
01:54	あすか 11/19 8/11	家族増えたらえぐいで電気代
01:55	あすか 11/19 8/11	まぁそんなとことか
01:55	あすか 11/19 8/11	こだわるところとかお金かけるところ
01:55	あすか 11/19 8/11	考えなよなぁ
01:55	あすか 11/19 8/11	ひとまず建ててあとあとめっちゃ何かとお金いるやん！も嫌やしなw
01:56	あすか 11/19 8/11	アフターフォローいいとこがいいなーとかもあるな
01:57	あすか 11/19 8/11	マイホームむず
01:57	あすか 11/19 8/11	モデルハウスとかみたら
01:57	あすか 11/19 8/11	ワクワクするけど
01:57	あすか 11/19 8/11	現実戻ったらしんどw
01:58	あすか 11/19 8/11	ナギがご飯いっぱい残った炊飯器の電源切って
01:59	あすか 11/19 8/11	今日のお昼ご飯にしようと思ってたのにってめっちゃ私にあたられた
01:59	あすか 11/19 8/11	ばぁばに
01:59	あすか 11/19 8/11	うざってなった
02:01	あすか 11/19 8/11	"ゴミ集めてきてとか
言うなら誰かナギ見とけやし
ちょっと出ていくだけでも
鍵閉めてとかもいうけど
その日の都合でたまたま閉めれんかったりもするし"
02:02	あすか 11/19 8/11	"ほんま私が毎日ナギつれて
あれこれしてる大変さ
しらんやろ？ておもう"
02:02	あすか 11/19 8/11	今まで買い物も連れて行ってもらってたのが
02:02	あすか 11/19 8/11	今は自転車でなぎとふたりでいくか
02:02	あすか 11/19 8/11	アーリに頼むか
02:03	あすか 11/19 8/11	そうなった理由とか考えへんのかね？
02:03	あすか 11/19 8/11	ほんまあれもこれも頼み辛いねんばぁばに
02:03	あすか 11/19 8/11	何かと嫌な顔されるから
02:03	あすか 11/19 8/11	そればぁば気づいてんかなw
02:04	あすか 11/19 8/11	なぎとふたりで自転車ってさ
02:04	あすか 11/19 8/11	気楽やけど結構たいへんよ
02:04	あすか 11/19 8/11	"荷物重くなったりしたら
なぎだけで10キロあるのに"
02:05	あすか 11/19 8/11	"買い物も下ろせっていうから
下ろすけどめちゃくちゃするしw"
02:05	あすか 11/19 8/11	今日とかさ
02:05	あすか 11/19 8/11	"ジャーマンポテトと
ささみともやしのカレー炒め"
02:06	あすか 11/19 8/11	作っといたらさ
02:06	あすか 11/19 8/11	"ばぁば帰ってきてから
なんかほか無いかなーて"
02:06	あすか 11/19 8/11	少ないんか自分食べるのあんま無いんかしらんけど
02:06	あすか 11/19 8/11	途中までナギ抱っこしながら
02:07	あすか 11/19 8/11	頑張って用意してるのに
02:07	あすか 11/19 8/11	なんか失礼
02:07	あすか 11/19 8/11	ほんで亮介が
02:07	あすか 11/19 8/11	辛ラーメン食べよかなって言った時
02:07	あすか 11/19 8/11	ばぁばなんて言ったとおもう？
02:07	あすか 11/19 8/11	食べるもんない？やで
02:08	あすか 11/19 8/11	作ったやつの気持ち考えろよ
02:08	あすか 11/19 8/11	一応みんな食べれるようなメニュー考えてるし
02:08	あすか 11/19 8/11	"亮介が
食べるものはいっぱいあるけど
辛ラーメンの気分って言った時"
02:08	あすか 11/19 8/11	ほんまばぁばに文句ゆったろかおもた
02:09	あすか 11/19 8/11	後々めんどい
02:09	あすか 11/19 8/11	めっちゃ失礼じゃない？
02:09	あすか 11/19 8/11	別に余裕あって晩ご飯作ってるんちゃうし
02:10	あすか 11/19 8/11	帰ってきても亮介ゲームしたり寝てたりしたらなぎみながらやし
02:10	あすか 11/19 8/11	"しゅん帰ってきても
服が汚いからってなぎみーひんし"
02:11	あすか 11/19 8/11	ほんまグズグズいうなぎみながらとかだっこしながらやし
02:11	あすか 11/19 8/11	涼介がきてお風呂入れてくれるのはいいけど
02:11	あすか 11/19 8/11	受け取るの私やから
02:11	あすか 11/19 8/11	料理手止まるし
02:12	あすか 11/19 8/11	そもそもなぎと一緒の時間に食べるためとはいえ
02:12	あすか 11/19 8/11	みんなの分をみんなのこと考えて作るのも
02:12	あすか 11/19 8/11	負担っちゃ負担やし
02:13	あすか 11/19 8/11	"食器もナギのはぜんぶ
洗わんと置いてくれてるから"
02:13	あすか 11/19 8/11	"隙みて洗うしかないから
すぐ食器たまるし"
02:13	あすか 11/19 8/11	洗濯は完全にまかせてるけど
02:14	あすか 11/19 8/11	"まぁママからしたら
お金入れんと何ヶ月も
居候してんのが
いやなんやろな"
02:14	あすか 11/19 8/11	"て言っても私のご飯代なんて
しれてるし"
02:14	あすか 11/19 8/11	娘やんってなるねんけどw
02:15	あすか 11/19 8/11	なぎのは全部こっちが払ってるし
02:15	あすか 11/19 8/11	亮介とかしゅんとかとは
02:16	あすか 11/19 8/11	YouTubeで顔出ししたしてないの話に入りに行って盛り上がろうとするねんけど
02:16	あすか 11/19 8/11	"私が顔出ししたしてないで
ママそんな話入ってくるか？ておもう"
02:16	あすか 11/19 8/11	これ昔からやけど
02:16	あすか 11/19 8/11	私にはそんなに興味示さんのに
02:17	あすか 11/19 8/11	しゅんりょうすけの話は
02:17	あすか 11/19 8/11	興味示して楽しげに話入っていったり質問したりして会話しようとするの
02:17	あすか 11/19 8/11	ほんまなんやろ
02:18	あすか 11/19 8/11	"同じ子どもやのに
そんなちゃう？てなる"
02:18	あすか 11/19 8/11	私がゆーくんの愚痴ゆってる時くらいw
02:18	あすか 11/19 8/11	興味示すの
02:18	あすか 11/19 8/11	クソやん
02:18	あすか 11/19 8/11	今はゆってない
02:18	あすか 11/19 8/11	w
02:19	あすか 11/19 8/11	"ほんま普段興味示さんのに
そういうとこだけ話
入ろうとするのうざい"
02:19	あすか 11/19 8/11	同性やとこうなるんかな
02:20	あすか 11/19 8/11	"父親がおらんから
家で話聞いてくれる人もおらんし"
02:20	あすか 11/19 8/11	ほんま昔からしんどかったこれ
02:20	あすか 11/19 8/11	"亮介とかしゅんとかには
どんな小さいことも"
02:20	あすか 11/19 8/11	"ママが興味示すこと？ていう
内容でも"
02:21	あすか 11/19 8/11	興味示して話し聞いてたもん
02:21	あすか 11/19 8/11	それが今でも残ってて
02:21	あすか 11/19 8/11	それも嫌なってくる
02:21	あすか 11/19 8/11	ほんまこの実家ストレスおおい
02:22	あすか 11/19 8/11	喋りかけてきたと思ったら
02:22	あすか 11/19 8/11	"ゴミ捨ててとか片付けてとか
あれこれこうしてとか"
02:22	あすか 11/19 8/11	好きに生活させろよってなる
02:23	あすか 11/19 8/11	なぎ寝てから
02:23	あすか 11/19 8/11	1人時間わーい！てなるところ
02:23	あすか 11/19 8/11	今はばぁばと一緒の部屋で寝てるから
02:23	あすか 11/19 8/11	気つかって
02:23	あすか 11/19 8/11	ナギから離れられへん
02:23	あすか 11/19 8/11	それもストレス
02:24	あすか 11/19 8/11	"ナギから離れてリビングで
作業したり1人時間やから
おやつ好きに食べたりしてたけど"
02:24	あすか 11/19 8/11	その間になぎ泣いたりしたら
02:24	あすか 11/19 8/11	"なにしてるん？
さっきから何回も泣いてるで"
02:25	あすか 11/19 8/11	てLINEくる
02:25	あすか 11/19 8/11	ちがう
02:25	あすか 11/19 8/11	"だからミーティングとかも
暗い部屋でなぎのとなりでやってる"
