1	出会った時くらいは45あったと思うんよなぁ
17:48	あすか 11/19 8/11	[写真]
17:48	あすか 11/19 8/11	良いぐらいだね
17:48	あすか 11/19 8/11	今日残業ある？
18:00	ゆうげん	もうちょい痩せよ
18:00	ゆうげん	もうちょいあるけどもう終わる
18:34	あすか 11/19 8/11	無理しちゃいかんよーー
18:35	あすか 11/19 8/11	もう終わったかな？
18:37	ゆうげん	おわってた
18:37	ゆうげん	ご飯しないと
18:37	あすか 11/19 8/11	だね
18:37	あすか 11/19 8/11	今日は何食べるの？
18:38	ゆうげん	餃子にしようかな
18:38	ゆうげん	買いに行こ
18:39	あすか 11/19 8/11	餃子か
18:39	あすか 11/19 8/11	買い物行くの？気をつけてね
18:39	あすか 11/19 8/11	ついでにお野菜もしっかり買っておいでね
18:40	ゆうげん	野菜は結構残ってる
18:40	あすか 11/19 8/11	そうなのか
18:40	ゆうげん	買いだめたからね
18:41	あすか 11/19 8/11	まいばすけっと
18:41	あすか 11/19 8/11	スーパーの名前覚えた
18:41	あすか 11/19 8/11	（笑）
18:41	ゆうげん	そそ
18:41	ゆうげん	イオン系列ね
18:43	あすか 11/19 8/11	気をつけていってらっしゃい
18:43	あすか 11/19 8/11	[スタンプ]
18:43	ゆうげん	きをつけまーす
18:44	あすか 11/19 8/11	[スタンプ]
18:44	あすか 11/19 8/11	帰ってご飯します
18:44	ゆうげん	おっけ
18:44	ゆうげん	気をつけね
18:44	ゆうげん	そしてしっかり食べや
19:11	あすか 11/19 8/11	パパもね
19:11	あすか 11/19 8/11	買い物いけた？
19:12	あすか 11/19 8/11	[写真]
19:12	あすか 11/19 8/11	[写真]
19:12	あすか 11/19 8/11	ママは今日もいただきもの
19:54	あすか 11/19 8/11	パパ大丈夫？
19:54	あすか 11/19 8/11	お風呂入ってくるね
20:50	ゆうげん	パパご飯食べて寝てた
21:04	あすか 11/19 8/11	買い物行ったの？
21:04	あすか 11/19 8/11	寝てたのか、心配だったーー
21:04	あすか 11/19 8/11	大丈夫？
21:14	あすか 11/19 8/11	☎ 不在着信
21:14	あすか 11/19 8/11	[写真]
21:14	あすか 11/19 8/11	"また寝てるかな？
大丈夫？"
21:14	あすか 11/19 8/11	梛寝かせるね
23:33	ゆうげん	ねてました
23:34	ゆうげん	なぎ可愛
23:47	ゆうげん	しまったなぁ
23:47	ゆうげん	変に寝てしまった
23:55	あすか 11/19 8/11	目覚めちゃった？
23:57	ゆうげん	[写真]
23:57	ゆうげん	[写真]
23:57	ゆうげん	[写真]
23:57	ゆうげん	[写真]
23:57	ゆうげん	[写真]
23:58		メッセージの送信を取り消しました
23:59	ゆうげん	[写真]

2022/01/20(木)
00:01	ゆうげん	[写真]
00:03	ゆうげん	[写真]
00:06	ゆうげん	[写真]
00:08	ゆうげん	[写真]
00:08	ゆうげん	[写真]
00:17	あすか 11/19 8/11	[写真]
00:17	あすか 11/19 8/11	[写真]
00:18	ゆうげん	[写真]
00:22	あすか 11/19 8/11	[写真]
00:44	あすか 11/19 8/11	[写真]
08:22	ゆうげん	☎ 通話時間 8:26:29
08:22	あすか 11/19 8/11	パパおきたーーー？
08:22	ゆうげん	おはよう
08:22	ゆうげん	3度寝してた
09:20	あすか 11/19 8/11	お仕事いけた？
09:20	あすか 11/19 8/11	おはようございますできた？
09:21	ゆうげん	いけたよー
09:21	あすか 11/19 8/11	よかった
09:22	あすか 11/19 8/11	ひなのクラスでコロナ陽性者出たから今週はあーりんち行けなくなった
09:22	あすか 11/19 8/11	どうやって乗り切ろ、、笑
09:32	ゆうげん	うーん
09:34	あすか 11/19 8/11	ま
09:34	あすか 11/19 8/11	がんはる
09:39	ゆうげん	またゆっくり電話しよ
